,close,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy
1997-02-03,129.5,2095057,CIEN,129.5,,0.0,,0.0,-1.195789684572163,129.5,129.5,0.0,0.0,,False
1997-02-10,134.75,1237400,CIEN,134.75,,0.0,-0.4093716781930038,0.0,-1.2218697203229907,134.75,134.75,0.0,0.0,volume,False
1997-02-17,128.625,505800,CIEN,134.75,,0.0,-0.5912396961370616,0.0,-1.2657617540911799,134.75,128.625,0.0,0.0,volume,False
1997-02-24,137.375,849256,CIEN,137.375,,0.0,0.6790351917754054,0.0,-1.2608428821339095,137.375,137.375,0.0,0.0,RS,False
1997-03-03,143.5,489857,CIEN,143.5,,0.0,-0.4231927710843374,0.0,-1.1937086129323151,143.5,143.5,0.0,0.0,volume,False
1997-03-10,122.5,449800,CIEN,143.5,,0.0,-0.08177284391159056,0.0,-1.2157831149151639,143.5,122.5,0.0,0.0,volume,False
1997-03-17,107.625,576085,CIEN,143.5,,0.0,0.28075811471765233,0.0,-1.192360242195449,143.5,107.625,0.0,0.0,volume,False
1997-03-24,101.71875,489172,CIEN,143.5,,0.0,-0.15086836143971805,0.0,-1.1755092591745344,143.5,101.71875,0.0,0.0,volume,False
1997-03-31,128.1875,642713,CIEN,143.5,,0.0,0.3138793716729493,0.0,-1.1869507453705246,143.5,101.71875,0.0,0.0,volume,False
1997-04-07,105.0,557856,CIEN,143.5,,0.0,-0.13202938169914102,0.0,-1.155899269277882,143.5,101.71875,0.0,0.0,volume,False
1997-04-14,89.90625,980943,CIEN,143.5,,0.0,0.7584161504044054,0.0,-1.0839187237056396,143.5,89.90625,0.0,0.0,RS,False
1997-04-21,83.5625,739829,CIEN,143.5,,0.0,-0.24579817583692432,0.0,-1.1154389097660866,143.5,83.5625,0.0,0.0,volume,False
1997-04-28,105.875,1219201,CIEN,143.5,,0.0,0.6479497289238458,0.0,-1.115390769894731,143.5,83.5625,0.0,0.0,RS,False
1997-05-05,112.875,1195171,CIEN,143.5,,0.0,-0.01970962950325661,0.0,-1.1589683591901343,143.5,83.5625,0.0,0.0,volume,False
