,open,high,low,close,adjclose,volume,ticker,percent,WMA30,WMA30Slope
1995-09-15,583.6099853515625,585.0700073242188,581.7899780273438,579.2299926757812,583.3499755859375,459370000,^GSPC,1.2153730448038134,546.1671817902596,1.0186316669808946
1995-09-22,583.0,583.0,578.25,583.6940063476562,581.72998046875,370790000,^GSPC,1.2016902140256311,549.6111865103115,0.9972229447416016
1995-09-29,585.8699951171875,587.6099853515625,584.0,582.9079833984375,584.4099731445312,335250000,^GSPC,1.2034632642511798,552.7883338189895,1.0046069358048588
1995-10-06,582.6300048828125,584.5399780273438,582.0999755859375,582.1299926757813,582.489990234375,313680000,^GSPC,1.20097705567305,555.7046387506301,0.996714664365111
1995-10-13,583.0999755859375,587.3900146484375,583.0999755859375,580.5900024414062,584.5,374680000,^GSPC,1.2068465335837684,558.3137400374873,1.0034507198395224
1995-10-20,590.6500244140625,590.6599731445312,586.780029296875,587.072021484375,587.4600219726562,389360000,^GSPC,1.1921967445370127,561.1348726662256,1.005064194991713
1995-10-27,576.719970703125,579.7100219726562,573.2100219726562,582.0979858398438,579.7000122070312,379230000,^GSPC,1.1625777857724735,563.4331169276084,0.9867905738682143
1995-11-03,589.719970703125,590.5700073242188,588.6500244140625,585.8519897460938,590.5700073242188,348500000,^GSPC,1.1748813958536124,565.7900324602024,1.018751069326018
1995-11-10,593.260009765625,593.260009765625,590.3900146484375,590.4940063476563,592.719970703125,298690000,^GSPC,1.1721494557568983,568.2674609112483,1.0036404885995607
1995-11-17,597.3400268554688,600.1400146484375,597.2999877929688,594.5920043945313,600.0700073242188,437200000,^GSPC,1.1813777289461125,570.8254870736728,1.0124005212990792
1995-11-24,598.4000244140625,600.239990234375,598.4000244140625,599.1059936523437,599.969970703125,125870000,^GSPC,1.165018315061842,573.484303936702,0.999833291749508
1995-12-01,605.3699951171875,608.1099853515625,605.3699951171875,605.552001953125,606.97998046875,393310000,^GSPC,1.1624963900474077,576.3742095094086,1.0116839343765984
1995-12-08,616.1699829101562,617.8200073242188,614.3200073242188,617.03798828125,617.47998046875,327900000,^GSPC,1.1750672018761352,579.816974388861,1.0172987583410762
1995-12-15,616.9199829101562,617.719970703125,614.4600219726562,618.6500122070313,616.3400268554688,636800000,^GSPC,1.1873435517507227,583.1644333049816,0.9981538614216838
1995-12-22,610.489990234375,613.5,610.4500122070312,609.4239990234375,611.9500122070312,289600000,^GSPC,1.1549404249378696,585.7138784494708,0.9928772845229036
1995-12-29,614.1199951171875,615.9299926757812,612.3599853515625,614.1660034179688,615.9299926757812,321250000,^GSPC,1.1511368654684409,588.3911819818969,1.0065037672838604
1996-01-05,617.7000122070312,617.7000122070312,612.02001953125,618.4780029296875,616.7100219726562,437110000,^GSPC,1.1603269287786708,591.1642274393062,1.001266425253114
1996-01-12,602.6900024414062,604.7999877929688,597.4600219726562,606.1780029296875,601.8099975585938,383400000,^GSPC,1.1212628443965207,592.9597158780662,0.9758394968734218
1996-01-19,608.239990234375,612.9199829101562,606.760009765625,606.9400024414062,611.8300170898438,497720000,^GSPC,1.103743593645663,594.6535956663727,1.0166498057059519
1996-01-26,617.030029296875,621.7000122070312,615.260009765625,616.960009765625,621.6199951171875,385700000,^GSPC,1.1345175038823823,596.8650070879536,1.0160011404375182
1996-02-02,638.4600219726562,639.260009765625,634.2899780273438,632.9380126953125,635.8400268554688,420020000,^GSPC,1.1526629244113948,599.9503154401881,1.02287576308674
1996-02-09,656.0700073242188,661.0800170898438,653.6400146484375,650.0260009765625,656.3699951171875,477640000,^GSPC,1.1694652536973595,603.9594810830395,1.032287945701137
1996-02-16,651.3200073242188,651.4199829101562,646.989990234375,655.3680053710938,647.97998046875,445570000,^GSPC,1.1770701118904274,608.1169997217321,0.9872175530404318
1996-02-23,658.8599853515625,663.0,652.25,650.9339965820312,659.0800170898438,443130000,^GSPC,1.1656700391034498,611.7744661458335,1.0171302153703328
1996-03-01,640.4299926757812,644.3800048828125,635.0,645.45,644.3699951171875,471480000,^GSPC,1.146183432081935,614.8857908318632,0.9776809771329313
1996-03-08,653.6500244140625,653.6500244140625,627.6300048828125,649.15,633.5,546550000,^GSPC,1.1725715491980355,618.0512832608788,0.983130817388214
1996-03-15,640.8699951171875,642.8699951171875,638.3499755859375,639.5920043945313,641.4299926757812,529970000,^GSPC,1.1463759664891824,620.4052663232948,1.012517746923096
1996-03-22,649.1900024414062,652.0800170898438,649.1900024414062,650.8260009765625,650.6199951171875,329390000,^GSPC,1.1645498813424318,623.3113652711273,1.0143273662696521
1996-03-29,648.9400024414062,650.9600219726562,644.8900146484375,649.2719848632812,645.5,413510000,^GSPC,1.154944110489839,625.9185814642137,0.9921305905818875
1996-04-12,631.1799926757812,637.1400146484375,631.1799926757812,637.5640014648437,636.7100219726562,413270000,^GSPC,1.1067702695022952,627.5809084393901,0.9863826831489639
1996-04-19,643.6099853515625,647.3200073242188,643.6099853515625,643.5559936523438,645.0700073242188,435690000,^GSPC,1.1028083848905643,629.4828606980847,1.0131299729281182
1996-04-26,652.8699951171875,656.4299926757812,651.9600219726562,651.1940063476562,653.4600219726562,402530000,^GSPC,1.1198456176967195,631.7392524834089,1.0130063629577815
1996-05-03,643.3800048828125,648.4500122070312,640.22998046875,649.5839965820312,641.6300048828125,434010000,^GSPC,1.0981617257154834,633.7466113806283,0.9818963414867654
1996-05-10,645.4400024414062,653.0,645.4400024414062,644.2740112304688,652.0900268554688,428370000,^GSPC,1.1078042617651096,635.2680013020833,1.0163022643783104
1996-05-17,664.8499755859375,669.8400268554688,664.8499755859375,665.2579833984375,668.9099731445312,429140000,^GSPC,1.1401989425875934,638.009552828881,1.0257939020631435
1996-05-24,676.0,679.719970703125,676.0,675.7680053710938,678.510009765625,329150000,^GSPC,1.1445017727216833,641.247088609921,1.0143517618312134
1996-05-31,671.7000122070312,673.4600219726562,667.0,671.897998046875,669.1199951171875,351750000,^GSPC,1.1646900512012937,644.0442024477067,0.9861608310661754
1996-06-07,673.030029296875,673.3099975585938,662.47998046875,673.00400390625,673.3099975585938,445710000,^GSPC,1.1412705398028478,646.7195531964045,1.006261959696291
1996-06-14,667.9199829101562,668.4000244140625,664.3499755859375,669.1879760742188,665.8499755859375,390630000,^GSPC,1.1258469674604001,648.9612849147344,0.9889203754589919
1996-06-21,662.0999755859375,666.8400268554688,662.0999755859375,663.6239990234375,666.8400268554688,520340000,^GSPC,1.1084138778902521,650.6748160282258,1.0014868984093002
1996-06-28,668.5499877929688,672.6799926757812,668.5499877929688,668.1799926757812,670.6300048828125,470460000,^GSPC,1.1172292120936913,652.533826313634,1.0056834891048991
1996-07-05,672.4000244140625,672.4000244140625,657.4099731445312,669.9920043945312,657.4400024414062,181470000,^GSPC,1.1107257211912185,654.3611943464382,0.9803319231985287
1996-07-12,645.6699829101562,647.6400146484375,640.2100219726562,651.0419921875,646.1900024414062,396740000,^GSPC,1.0478763990752555,654.827400296119,0.9828881723682419
1996-07-19,643.510009765625,643.510009765625,635.5,634.9059936523438,638.72998046875,408070000,^GSPC,1.0431012572003866,654.1794471921204,0.9884553738923983
1996-07-26,631.1699829101562,636.22998046875,631.1699829101562,630.8720092773438,635.9000244140625,349900000,^GSPC,1.0338744172821603,653.2362779317875,0.9955694015605614
1996-08-02,650.02001953125,662.489990234375,650.02001953125,643.7260009765625,662.489990234375,442080000,^GSPC,1.0584576706498736,653.0762737052671,1.041814695391486
1996-08-09,662.5900268554688,665.3699951171875,660.3099975585938,662.2919921875,662.0999755859375,327280000,^GSPC,1.0726728407986366,654.0505054761004,0.9994112897489975
1996-08-16,662.280029296875,666.3400268554688,662.260009765625,663.1020141601563,665.2100219726562,337650000,^GSPC,1.098873428485753,654.9827730962281,1.0046972458864183
1996-08-23,670.6799926757812,670.6799926757812,664.9299926757812,667.010009765625,667.030029296875,308010000,^GSPC,1.1026568516439474,656.0447522366431,1.002735989032188
1996-08-30,657.4000244140625,657.7100219726562,650.52001953125,660.8960083007812,651.989990234375,258380000,^GSPC,1.0654263053666777,656.583096858199,0.9774522309312612
1996-09-06,649.4400024414062,658.2100219726562,649.4400024414062,653.48798828125,655.6799926757812,348710000,^GSPC,1.0171976006184773,656.549018685946,1.0056595998353899
1996-09-13,671.1500244140625,681.3900146484375,671.1500244140625,669.3080078125,680.5399780273438,488360000,^GSPC,1.0229853779649942,657.4913934391802,1.0379148145883035
1996-09-20,683.0,687.0700073242188,683.0,683.6839965820312,687.030029296875,519420000,^GSPC,1.0486396737694736,659.3197846574682,1.0095366201532257
1996-09-27,685.8599853515625,687.1099853515625,683.72998046875,685.993994140625,686.1900024414062,414760000,^GSPC,1.0409798752394912,661.2363133715558,0.9987773069303413
1996-10-04,692.780029296875,701.739990234375,692.780029296875,692.9320190429687,701.4600219726562,463940000,^GSPC,1.0817420127411117,663.52505875126,1.022253340149114
1996-10-11,694.6099853515625,700.6699829101562,694.6099853515625,699.197998046875,700.6599731445312,396050000,^GSPC,1.0626634428327557,666.1159489719842,0.9988594519957459
1996-10-18,706.989990234375,711.0399780273438,706.1099853515625,705.6659912109375,710.8200073242188,473020000,^GSPC,1.1031722433893898,669.0164989709341,1.014500663045
1996-10-25,702.2899780273438,704.1099853515625,700.530029296875,705.3799926757813,700.9199829101562,367640000,^GSPC,1.0817941979793968,671.7565028561827,0.9860723891955014
1996-11-01,705.27001953125,708.5999755859375,701.2999877929688,701.7400146484375,703.77001953125,465510000,^GSPC,1.0868031202852684,674.1443490370884,1.0040661369208803
1996-11-08,727.6500244140625,730.8200073242188,725.219970703125,720.7860107421875,730.8200073242188,402320000,^GSPC,1.1528407631067532,677.64813468687,1.0384358342104223
1996-11-15,735.8800048828125,741.9199829101562,735.1500244140625,733.2119995117188,737.6199951171875,529100000,^GSPC,1.1433632504642526,681.774624968498,1.0093045999354422
1996-11-22,742.75,748.72998046875,742.75,742.9219970703125,748.72998046875,525210000,^GSPC,1.1376690697306122,686.3347580907679,1.0150619362613638
1996-11-29,755.0,758.27001953125,755.0,754.7480102539063,757.02001953125,14990000,^GSPC,1.1734899970003239,691.4605953093497,1.0110721345194564
1996-12-06,744.3800048828125,744.3800048828125,726.8900146484375,746.7839965820312,739.5999755859375,500860000,^GSPC,1.1532907815864544,695.8464660250758,0.9769886614675012
1996-12-13,729.3300170898438,731.4000244140625,721.969970703125,739.193994140625,728.6400146484375,458540000,^GSPC,1.096984348156258,699.5222075825353,0.9851812313422305
1996-12-20,745.760009765625,755.4099731445312,745.760009765625,734.63798828125,748.8699951171875,654340000,^GSPC,1.1031952807183802,702.7450111044607,1.0277640262160332
1996-12-27,755.8200073242188,758.75,754.8200073242188,751.8859985351562,756.7899780273438,253810000,^GSPC,1.1252344701331642,706.9539873676915,1.010575911655957
1997-01-03,737.010009765625,748.239990234375,737.010009765625,747.2839965820312,748.030029296875,452970000,^GSPC,1.095062594065217,710.6940430737566,0.9884248616065153
1997-01-10,754.8499755859375,759.6500244140625,746.9199829101562,752.7279907226563,759.5,545850000,^GSPC,1.1301503097676813,714.6255822885165,1.0153335698486683
1997-01-17,769.75,776.3699951171875,769.719970703125,768.297998046875,776.1699829101562,534640000,^GSPC,1.1625887756887405,719.3819821593582,1.0219486279264731
1997-01-24,777.5599975585938,778.2100219726562,768.1699829101562,778.74599609375,770.52001953125,542920000,^GSPC,1.1630543889851694,724.587341046077,0.9927207138857362
1997-01-31,784.1699829101562,791.8599853515625,784.1699829101562,774.5739990234375,786.1599731445312,578550000,^GSPC,1.1662253932746232,729.2857624800488,1.0202979198681896
1997-02-07,780.1500244140625,789.719970703125,778.1900024414062,784.7960083007813,789.5599975585938,540910000,^GSPC,1.208279841193452,734.4187608681956,1.0043248505777556
1997-02-14,811.8200073242188,812.2000122070312,808.1500244140625,799.6180053710938,808.47998046875,491540000,^GSPC,1.261549929300858,740.2203740864416,1.0239626918393268
1997-02-21,802.7999877929688,804.9400024414062,799.989990234375,808.3659912109375,801.77001953125,478450000,^GSPC,1.2719235856107611,746.2321541078629,0.9917005230808441
1997-02-28,795.0700073242188,795.7000122070312,788.5,802.7760131835937,790.8200073242188,508280000,^GSPC,1.2231469546085194,751.5015828975555,0.9863427018468051
1997-03-07,798.5599975585938,808.1900024414062,798.5599975585938,798.3559936523437,804.969970703125,508270000,^GSPC,1.2052098057503426,756.1438060998405,1.0178927736373078
1997-03-14,789.5599975585938,796.8800048828125,789.5599975585938,802.3960083007812,793.1699829101562,491540000,^GSPC,1.192184518075909,760.7540646526378,0.9853410832423206
1997-03-21,782.6500244140625,786.4400024414062,782.6500244140625,787.5780029296875,784.0999755859375,638760000,^GSPC,1.1669500103791073,764.1087658822665,0.9885648631193269
1997-04-04,750.3200073242188,757.9000244140625,744.0399780273438,755.0180053710938,757.9000244140625,544580000,^GSPC,1.1413446599625172,765.1035361013105,0.9665859558887291
1997-04-11,758.3400268554688,758.3400268554688,737.6400146484375,756.9680053710938,737.6500244140625,444380000,^GSPC,1.16768296379139,766.021699875042,0.9732814364062656
1997-04-18,761.77001953125,767.9299926757812,761.77001953125,758.0180053710938,766.3400268554688,468940000,^GSPC,1.135021965016394,766.7850679130964,1.0388937863374919
1997-04-25,771.1799926757812,771.1799926757812,764.6300048828125,769.0339965820312,765.3699951171875,414350000,^GSPC,1.1291068706819638,768.068370873236,0.9987342019152234
1997-05-02,798.530029296875,812.989990234375,798.530029296875,795.9700073242187,812.969970703125,499770000,^GSPC,1.1642755757030487,770.9059325909359,1.0621921108609038
1997-05-09,820.260009765625,827.6900024414062,815.780029296875,823.7420043945312,824.780029296875,455690000,^GSPC,1.184012204563884,775.298728499874,1.0145270539126257
1997-05-16,841.8800048828125,841.8800048828125,829.1500244140625,835.6919921875,829.75,486780000,^GSPC,1.2120182874375356,780.1811795667423,1.006025813582516
1997-05-23,835.6599731445312,848.489990234375,835.6599731445312,839.393994140625,847.030029296875,417030000,^GSPC,1.1819968948464188,785.0089339980259,1.0208255851724917
1997-05-30,844.0800170898438,851.8699951171875,831.8699951171875,847.2620239257812,848.280029296875,537200000,^GSPC,1.201896714318454,790.0567161510837,1.0014757446097131
1997-06-06,843.4299926757812,859.239990234375,843.3599853515625,846.6779907226562,858.010009765625,488940000,^GSPC,1.1958965634699144,794.7616960948002,1.0114702458300415
1997-06-13,883.47998046875,894.6900024414062,883.47998046875,874.8960083007812,893.27001953125,575810000,^GSPC,1.2141550894335076,800.9754987294187,1.0410951030457753
1997-06-20,897.989990234375,901.77001953125,897.77001953125,894.8140014648437,898.7000122070312,653110000,^GSPC,1.2202940483175355,808.1429138314853,1.0060787808356433
1997-06-27,883.6799926757812,894.7000122070312,883.6799926757812,886.9859985351562,887.2999877929688,472540000,^GSPC,1.1897408181430915,814.4577652994791,0.9873149835771491
1997-07-11,913.780029296875,919.739990234375,913.1099853515625,913.7900024414063,916.6799926757812,500050000,^GSPC,1.2103046745653974,822.1920922851561,1.033111693099299
1997-07-18,931.6099853515625,931.6099853515625,912.9000244140625,925.5280029296875,915.2999877929688,589710000,^GSPC,1.2515247309715494,830.3416838352655,0.9984945620130922
1997-07-25,940.2999877929688,945.6500244140625,936.0900268554688,932.5139892578125,938.7899780273438,521510000,^GSPC,1.289265443296757,838.557588468162,1.025663706487111
1997-08-01,954.2899780273438,955.3499755859375,939.0399780273438,946.49599609375,947.1400146484375,513750000,^GSPC,1.2796207433102438,847.2598161332326,1.008894467150831
1997-08-08,951.1900024414062,951.1900024414062,925.739990234375,949.543994140625,933.5399780273438,563420000,^GSPC,1.2584874615966353,855.7030802146339,0.9856409438828937
1997-08-15,924.77001953125,924.77001953125,900.8099975585938,922.2260131835938,900.8099975585938,537820000,^GSPC,1.2547591040525137,861.958822953419,0.9649399262601357
1997-08-22,925.0499877929688,925.0499877929688,905.4199829101562,925.28798828125,923.5399780273438,460160000,^GSPC,1.2254752834494256,868.0358930821571,1.0252328243806725
1997-08-29,903.6699829101562,907.280029296875,896.8200073242188,910.0039916992188,899.469970703125,413910000,^GSPC,1.1739785422671727,872.7558021463374,0.9739372329331843
1997-09-05,930.8699951171875,940.3699951171875,924.0499877929688,922.9659912109375,929.0499877929688,536400000,^GSPC,1.1971680616800775,878.0072251711609,1.0328860529570774
1997-09-12,912.5900268554688,925.0499877929688,906.7000122070312,924.0700073242188,923.9099731445312,544150000,^GSPC,1.1637655696392881,883.0197245148689,0.9944674509273198
1997-09-19,947.2899780273438,952.3499755859375,943.9000244140625,941.2420043945312,950.510009765625,631040000,^GSPC,1.2142407849551924,888.8185978452622,1.0287907235491358
1997-09-26,937.9099731445312,946.4400024414062,937.9099731445312,946.9939819335938,945.219970703125,505340000,^GSPC,1.1553176377555765,894.6521234984039,0.9944345256671159
1997-10-03,960.4600219726562,975.469970703125,955.1300048828125,956.3040161132812,965.030029296875,623370000,^GSPC,1.1963876888104112,900.7693589339718,1.020958146471465
1997-10-10,970.6199951171875,970.6199951171875,963.4199829101562,973.45,966.97998046875,500680000,^GSPC,1.2207981513272979,907.6746405882476,1.0020206119112125
1997-10-17,955.22998046875,955.22998046875,931.5800170898438,960.7019897460938,944.1599731445312,624980000,^GSPC,1.1961906223566636,913.3904291362147,0.9764007448084328
1997-10-24,950.6900024414062,960.0399780273438,937.5499877929688,957.7420043945312,941.6400146484375,677630000,^GSPC,1.2040756945400528,918.5661197129116,0.997331004736728
1997-10-31,903.6799926757812,919.9299926757812,903.6799926757812,907.2599853515625,914.6199951171875,638070000,^GSPC,1.15464123744496,920.1508284242692,0.9713053618039608
1997-11-07,938.030029296875,938.030029296875,915.3900146484375,937.610009765625,927.510009765625,569980000,^GSPC,1.2501732862516424,923.4362226194976,1.0140933007339141
1997-11-14,916.6599731445312,930.4400024414062,915.3400268554688,919.1760009765625,928.3499755859375,635760000,^GSPC,1.2087717127968989,925.1396549479167,1.0009056137523786
1997-11-21,958.97998046875,964.5499877929688,954.5999755859375,950.2180053710938,963.0900268554688,611000000,^GSPC,1.2588838571762797,928.4969628381215,1.0374212874273032
1997-11-28,951.6400146484375,959.1300048828125,951.6400146484375,953.5240112304688,955.4000244140625,189070000,^GSPC,1.234005061965508,931.6542280955982,0.992015281825195
1997-12-05,973.0999755859375,986.25,969.0999755859375,976.0219970703125,983.7899780273438,563590000,^GSPC,1.2186141283162206,935.8662235908097,1.0297152531796223
1997-12-12,954.9400024414062,961.3200073242188,947.0,967.25400390625,953.3900146484375,579280000,^GSPC,1.1641918307272638,939.1253335275959,0.969099132886205
1997-12-19,955.2999877929688,955.2999877929688,924.9199829101562,959.8099975585938,946.780029296875,793200000,^GSPC,1.1347222671311026,941.5955570344003,0.9930668611481106
1997-12-26,932.7000122070312,939.989990234375,932.7000122070312,941.7540161132813,936.4600219726562,154900000,^GSPC,1.1161238328758825,942.6339580708166,0.9890998890926302
1998-01-02,970.4299926757812,975.0399780273438,965.72998046875,961.2239990234375,975.0399780273438,366730000,^GSPC,1.1496895709266493,944.7083579574092,1.0411976540903676
1998-01-09,956.0499877929688,956.0499877929688,921.719970703125,958.2780029296875,927.6900024414062,746420000,^GSPC,1.1335261919722592,946.3476140635502,0.9514379136722847
1998-01-16,950.72998046875,965.1199951171875,950.72998046875,952.302001953125,961.510009765625,670080000,^GSPC,1.0761194384555484,947.3613216933384,1.0364561515540909
1998-01-23,963.0399780273438,966.4400024414062,950.8599853515625,966.3099975585938,957.5900268554688,635770000,^GSPC,1.0724395466546244,949.1123064726141,0.9959230971385189
1998-01-30,985.489990234375,987.4099731445312,979.6300048828125,973.8400146484375,980.280029296875,613380000,^GSPC,1.1152113869301412,951.1953439757646,1.0236949026254123
1998-02-06,1003.5399780273438,1013.0700073242188,1003.3599853515625,1006.0340087890625,1012.4600219726562,569650000,^GSPC,1.0982292738434394,955.1686305286039,1.0328273469968199
1998-02-13,1024.1400146484375,1024.1400146484375,1017.7100219726562,1018.7980102539062,1020.0900268554688,531940000,^GSPC,1.0993227109539372,959.7670268397176,1.0075361048507836
1998-02-20,1028.280029296875,1034.2099609375,1022.6900024414062,1027.4839965820313,1034.2099609375,594300000,^GSPC,1.0935659285824402,964.7252287046372,1.0138418509252143
1998-02-27,1048.6700439453125,1051.6600341796875,1044.4000244140625,1041.922021484375,1049.3399658203125,574480000,^GSPC,1.0989008247923404,970.4106794722362,1.0146295292583503
1998-03-06,1035.050048828125,1055.68994140625,1035.050048828125,1047.5579833984375,1055.68994140625,665500000,^GSPC,1.0881632966825516,976.2545234269992,1.0060513997300897
1998-03-13,1069.9200439453125,1075.8599853515625,1066.5699462890625,1064.71201171875,1068.6099853515625,597800000,^GSPC,1.156957969385336,982.9942961137014,1.0122384835154365
1998-03-20,1089.739990234375,1101.0400390625,1089.3900146484375,1086.8280029296875,1099.1600341796875,717310000,^GSPC,1.1780336247928958,990.8544854408183,1.0285885863382367
1998-03-27,1100.800048828125,1107.1800537109375,1091.1400146484375,1099.8740234375,1095.43994140625,582190000,^GSPC,1.2181438684984711,999.2089556294103,0.9966155130665628
1998-04-03,1120.010009765625,1126.3599853515625,1118.1199951171875,1109.2419921875,1122.699951171875,653880000,^GSPC,1.2031862834128912,1007.759488249748,1.0248849879717097
