,close,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy,resistance,shortPeak,shortTrough
2008-02-01,9.510000228881836,28200,AACG,0.0,,0.0,,0.0,-0.904023719244678,9.930000305175781,0,0,0,,False,0,0,0
2008-02-08,9.010000228881836,7900,AACG,0.0,,0.0,-0.7198581560283688,0.0,-0.8637961067452663,9.510000228881836,0,0,0,,False,0,0,0
2008-02-15,9.0,10000,AACG,0.0,,0.0,0.26582278481012667,0.0,-0.8675822470954276,9.010000228881836,0,0,0,,False,0,0,0
2008-02-22,9.619999885559082,3200,AACG,0.0,,0.0,-0.6799999999999999,0.0,-0.9067618411765074,9.720000267028809,0,0,0,,False,0,0,0
2008-02-29,10.300000190734863,12100,AACG,0.0,,0.0,2.78125,0.0,-0.9265646160947767,9.619999885559082,0,0,0,,False,0,0,0
2008-03-07,10.84000015258789,10300,AACG,0.0,,0.0,-0.14876033057851235,0.0,-0.8956981741747302,10.300000190734863,0,0,0,,False,0,0,0
2008-03-14,11.800000190734863,7600,AACG,0.0,,0.0,-0.2621359223300971,0.0,-0.9325354929079922,11.819999694824219,0,0,0,,False,0,0,0
2008-03-28,8.710000038146973,80000,AACG,0.0,,0.0,9.526315789473685,0.0,-0.9074634151757225,11.800000190734863,0,0,0,,False,0,0,0
2008-04-04,11.020000457763672,35100,AACG,0.0,,0.0,-0.56125,0.0,-0.9397918437390108,9.449999809265137,0,0,0,,False,0,0,0
2008-04-11,9.779999732971191,4400,AACG,0.0,,0.0,-0.8746438746438746,0.0,-0.9184538470950395,11.020000457763672,0,0,0,,False,0,0,0
2008-04-18,10.600000381469727,4900,AACG,0.0,,0.0,0.11363636363636354,0.0,-0.9225378517104981,10.789999961853027,0,0,0,,False,0,0,0
2008-04-25,10.5,4400,AACG,0.0,,0.0,-0.10204081632653061,0.0,-0.9138304558899177,10.600000381469727,0,0,0,,False,0,0,0
2008-05-02,10.600000381469727,5600,AACG,0.0,,0.0,0.2727272727272727,0.0,-0.9202737932438653,10.5,0,0,0,,False,0,0,0
2008-05-09,10.899999618530273,11500,AACG,0.0,,0.0,1.0535714285714284,0.0,-0.9035263079699382,10.899999618530273,0,0,0,,False,0,0,0
2008-05-16,12.5600004196167,15400,AACG,0.0,,0.0,0.33913043478260874,0.0,-0.9154435058015986,11.949999809265137,0,0,0,,False,0,0,0
2008-05-23,17.079999923706055,210700,AACG,0.0,,0.0,12.681818181818182,0.0,-0.9040259423193994,15.739999771118164,0,0,0,,False,0,0,0
2008-05-30,15.100000381469727,10100,AACG,0.0,,0.0,-0.9520645467489322,0.0,-0.9186621369365234,17.079999923706055,0,0,0,,False,0,0,0
2008-06-06,15.199999809265137,16400,AACG,0.0,,0.0,0.6237623762376239,0.0,-0.9265355730435018,15.899999618530273,0,0,0,,False,0,0,0
2008-06-13,14.460000038146973,5200,AACG,0.0,,0.0,-0.6829268292682926,0.0,-0.9142949255882534,15.199999809265137,0,0,0,,False,0,0,0
2008-06-20,14.899999618530273,13900,AACG,0.0,,0.0,1.673076923076923,0.0,-0.9228747366472965,14.800000190734863,0,0,0,,False,0,0,0
2008-06-27,14.149999618530273,14300,AACG,0.0,,0.0,0.02877697841726623,0.0,-0.9054612519625393,14.899999618530273,0,0,0,,False,0,0,0
2008-07-11,12.630000114440918,6400,AACG,0.0,,0.0,-0.5524475524475525,0.0,-0.8483724828694084,14.149999618530273,0,0,0,,False,0,0,0
2008-07-18,11.970000267028809,1900,AACG,0.0,,0.0,-0.703125,0.0,-0.8340315465101573,12.630000114440918,0,0,0,,False,0,0,0
2008-07-25,14.600000381469727,2400,AACG,0.0,,0.0,0.26315789473684204,0.0,-0.8434386311210931,14.380000114440918,0,0,0,,False,0,0,0
