,close,Stage
1995-01-06,1.8799999952316284,
1995-01-13,1.8799999952316284,bad sector
1995-01-20,0.6299999952316284,bad sector
1995-01-27,0.6299999952316284,bad sector
1995-02-03,0.6299999952316284,bad sector
1995-02-10,0.6299999952316284,bad sector
1995-02-17,0.6299999952316284,bad sector
1995-02-24,0.6299999952316284,bad sector
1995-03-03,0.6299999952316284,bad sector
1995-03-10,0.6299999952316284,bad sector
1995-03-17,0.6299999952316284,bad sector
1995-03-24,0.6299999952316284,bad sector
1995-03-31,0.6299999952316284,bad sector
1995-04-07,0.6299999952316284,bad sector
1995-04-21,1.7999999523162842,bad sector
1995-04-28,1.7999999523162842,bad sector
1995-05-05,1.8799999952316284,bad sector
1995-05-12,1.8799999952316284,bad sector
1995-05-19,1.559999942779541,bad sector
1995-05-26,0.9399999976158142,bad sector
1995-06-02,0.9399999976158142,bad sector
1995-06-09,0.9399999976158142,bad sector
1995-06-16,0.9399999976158142,bad sector
1995-06-23,0.9399999976158142,bad sector
1995-06-30,0.9399999976158142,bad sector
1995-07-07,0.9399999976158142,bad sector
1995-07-14,0.9399999976158142,bad sector
1995-07-21,0.9399999976158142,bad sector
1995-07-28,0.9399999976158142,bad sector
1995-08-04,0.9399999976158142,bad sector
1995-08-11,0.9399999976158142,bad sector
1995-08-18,0.9399999976158142,bad sector
1995-08-25,0.9399999976158142,bad sector
1995-09-01,0.9399999976158142,bad sector
1995-09-08,0.9399999976158142,bad sector
1995-09-15,0.9399999976158142,bad sector
1995-09-22,0.9399999976158142,bad sector
1995-09-29,0.9399999976158142,bad sector
1995-10-06,0.9399999976158142,bad sector
1995-10-13,0.6299999952316284,bad sector
1995-10-20,0.6299999952316284,bad sector
1995-10-27,0.6299999952316284,bad sector
1995-11-03,0.6299999952316284,bad sector
1995-11-10,0.6299999952316284,bad sector
1995-11-17,0.6299999952316284,bad sector
1995-11-24,0.6299999952316284,bad sector
1995-12-01,0.6299999952316284,bad sector
1995-12-08,0.6299999952316284,bad sector
1995-12-15,0.6299999952316284,bad sector
1995-12-22,1.0,bad sector
1995-12-29,0.699999988079071,bad sector
1996-01-05,0.699999988079071,bad sector
1996-01-12,0.699999988079071,bad sector
