,holding,total
1999-12-31,"[('SNGX', 550.0, 0.009004039112824451), ('NBIX', 26.0, 0.19047005815590184), ('AMSWA', 10.375, 0.4773225553786456), ('LOGI', 3.453125, 1.4341274967032611), ('NTAP', 44.9375, 0.11020242585932569), ('NTAP', 44.9375, 0.11020242585932569), ('PTC', 67.65625, 0.07319680756845744), ('PTC', 67.65625, 0.07319680756845744), ('VOXX', 30.75, 0.16104785405051864), ('MGIC', 21.0, 0.23582007200254515), ('GILT', 2437.5, 0.00203168062032962), ('IMBI', 593.125, 0.008349372412313505), ('CNXN', 23.333332061767578, 0.21223807636834793), ('CNXN', 23.333332061767578, 0.21223807636834793), ('NLOK', 7.46875, 0.6630589472205454), ('NLOK', 7.46875, 0.6630589472205454), ('TTEC', 34.5, 0.14354265252328835), ('CAMP', 27.375, 0.1809030689334593), ('DSGX', 21.875, 0.22638726912244336), ('OCC', 106.66666412353516, 0.04642707778240887), ('SSYS', 2.5208330154418945, 1.9645178723531351), ('SSYS', 2.5208330154418945, 1.9645178723531351), ('INTZ', 36.25, 0.13661300722906064), ('INTZ', 36.25, 0.13661300722906064), ('TECH', 28.25, 0.17529987653286544), ('TECH', 28.25, 0.17529987653286544), ('AMKR', 28.0625, 0.17647114519566853), ('AMKR', 28.0625, 0.17647114519566853)]",138.66220233749655
2000-01-07,"[('DLHC', 24.5, 0.1515706934977548), ('SNGX', 737.5, 0.0050352298178915145), ('CLBS', 23125.0, 0.0001605830050030267), ('NBIX', 26.9375, 0.13785547993299274), ('TRMB', 4.0, 0.928370497673748), ('AMD', 16.75, 0.2217004173549249), ('AMSWA', 8.375, 0.4434008347098498), ('VIAV', 445.6769104003906, 0.008332228805299439), ('BIIB', 38.33333206176758, 0.0968734464489378), ('LOGI', 4.5625, 0.8139138609742448), ('NTAP', 44.28125, 0.08386127290207462), ('NTAP', 44.28125, 0.08386127290207462), ('AMGN', 69.5, 0.05343139554956823), ('VSAT', 29.6875, 0.12508570916025236), ('VOXX', 28.25, 0.13145068993610592), ('MGIC', 21.708332061767578, 0.17106252014797244), ('IMBI', 510.0, 0.0072813372366568475), ('IMBI', 510.0, 0.0072813372366568475), ('IIVI', 2.921875, 1.2709243176710134), ('CNXN', 20.916667938232422, 0.177536976810122), ('CNXN', 20.916667938232422, 0.177536976810122), ('FWRD', 20.77777862548828, 0.17872372488075464), ('TTEC', 31.875, 0.11650139578650956), ('TTEC', 31.875, 0.11650139578650956), ('CAMP', 27.0, 0.13753637002574046), ('DSGX', 26.5, 0.14013139587528273), ('NKTR', 23.40625, 0.15865343618456576), ('OCC', 96.66666412353516, 0.038415331948864484), ('SSYS', 2.5364580154418945, 1.4640423646231888), ('SSYS', 2.5364580154418945, 1.4640423646231888), ('ICAD', 13.59375, 0.2731756866718155), ('INTZ', 36.0, 0.10315227751930534), ('INTZ', 36.0, 0.10315227751930534), ('TECH', 27.1875, 0.13658784333590776), ('TECH', 27.1875, 0.13658784333590776), ('OBLG', 250.0, 0.014853927962779968)]",133.6853516650197
2000-01-14,"[('DLHC', 27.125, 0.12119126461464), ('SNGX', 675.0, 0.004870093411366089), ('CLBS', 30625.0, 0.00010734083437296685), ('NBIX', 29.25, 0.11238677103152513), ('TRMB', 3.84375, 0.8552359161423375), ('TRMB', 3.84375, 0.8552359161423375), ('WAVD', 1.0625, 3.093941696632574), ('AMD', 20.1875, 0.16283903666487232), ('AMSWA', 11.0625, 0.2971582420494563), ('DIOD', 3.975308895111084, 0.8269327338851364), ('LRCX', 43.25, 0.0760072382120719), ('ADI', 50.6875, 0.06485451152004162), ('VIAV', 437.28668212890625, 0.007517523828230959), ('BIIB', 38.5, 0.08538475461486), ('LOGI', 4.96875, 0.6615975955063366), ('NTAP', 46.84375, 0.07017612920981155), ('NTAP', 46.84375, 0.07017612920981155), ('ULBI', 8.0, 0.41091413158401374), ('AMGN', 68.3125, 0.048121691530424296), ('VOXX', 38.5, 0.08538475461486), ('UEIC', 22.25, 0.14774440686166787), ('NVDA', 0.9153649806976318, 3.591259357733713), ('MGIC', 24.333332061767578, 0.1350950640186726), ('IMBI', 499.375, 0.006582854673686328), ('IMBI', 499.375, 0.006582854673686328), ('MKSI', 36.0, 0.09131425146311417), ('TTEC', 31.0, 0.10604235653781), ('TTEC', 31.0, 0.10604235653781), ('CAMP', 28.75, 0.11434132357120383), ('DSGX', 30.5, 0.10778075582531509), ('NKTR', 30.125, 0.1091224249849663), ('OCC', 92.66666412353516, 0.03547460226138873), ('SSYS', 2.7916669845581055, 1.177544840002634), ('SSYS', 2.7916669845581055, 1.177544840002634), ('SMTC', 33.375, 0.0984962712411119), ('ICAD', 13.125, 0.25046194687025597), ('INTZ', 36.5, 0.0900633713060852), ('INTZ', 36.5, 0.0900633713060852), ('TECH', 33.5625, 0.09794601274255821), ('TECH', 33.5625, 0.09794601274255821), ('AMKR', 30.0, 0.109577101755737), ('SGMS', 4.125, 0.79692437640536), ('OBLG', 255.0, 0.012891423735969059)]",141.35446126490072
2000-01-21,"[('VRTX', 24.0, 0.1365376864367268), ('DLHC', 23.625, 0.13870495130080185), ('DLHC', 23.625, 0.13870495130080185), ('SNGX', 1100.0, 0.002979004067710403), ('CLBS', 41250.0, 7.944010847227742e-05), ('NBIX', 34.125, 0.09602650474670897), ('TRMB', 4.0729169845581055, 0.8045596035729106), ('TRMB', 4.0729169845581055, 0.8045596035729106), ('WAVD', 0.9375, 3.4953647727802064), ('WAVD', 0.9375, 3.4953647727802064), ('AMD', 18.625, 0.17594117983792984), ('CSGS', 47.5, 0.06898746262066197), ('AMSWA', 12.1875, 0.2688742132907851), ('DIOD', 4.6913580894470215, 0.6984980493927075), ('LRCX', 48.29166793823242, 0.06785651882376016), ('ADI', 50.25, 0.0652120293429143), ('ADI', 50.25, 0.0652120293429143), ('SOTK', 0.75, 4.369205965975258), ('VIAV', 552.9010009765625, 0.0059267472272497325), ('BIIB', 48.0, 0.0682688432183634), ('LOGI', 5.28125, 0.6204789537479657), ('NTAP', 59.9375, 0.05467202460031605), ('NTAP', 59.9375, 0.05467202460031605), ('ULBI', 8.6875, 0.377197637350382), ('AMGN', 75.875, 0.043188197357251316), ('VOXX', 44.75, 0.07322691563087025), ('UEIC', 20.4375, 0.16033783361377094), ('UEIC', 20.4375, 0.16033783361377094), ('NVDA', 0.9622399806976318, 3.4054960718901546), ('MGIC', 27.0, 0.12136683238820162), ('MKSI', 43.0, 0.07620708080189403), ('TTEC', 30.75, 0.10656599917012824), ('TTEC', 30.75, 0.10656599917012824), ('CAMP', 32.375, 0.10121712662490945), ('DSGX', 39.5, 0.0829596069488973), ('NKTR', 35.25, 0.09296182906330336), ('OCC', 181.3333282470703, 0.018071164888214013), ('SSYS', 3.2083330154418945, 1.0213729244157357), ('SSYS', 3.2083330154418945, 1.0213729244157357), ('SMTC', 32.625, 0.10044151645920134), ('SMTC', 32.625, 0.10044151645920134), ('ICAD', 18.4375, 0.17773041217526472), ('INTZ', 48.25, 0.06791511864210245), ('INTZ', 48.25, 0.06791511864210245), ('TECH', 33.09375, 0.09901883209009084), ('TECH', 33.09375, 0.09901883209009084), ('AMKR', 37.1875, 0.08811843964992117), ('SGMS', 4.25, 0.7710363469368102), ('OBLG', 252.5, 0.012977839502896805)]",160.56831924959073
2000-01-28,"[('DLHC', 24.9375, 0.1588306806980983), ('DLHC', 24.9375, 0.1588306806980983), ('SNGX', 712.5, 0.005559073824433441), ('CLBS', 34062.5, 0.00011628154421750684), ('NBIX', 24.75, 0.16003394343065966), ('AMD', 17.625, 0.22472851630688379), ('AMSWA', 11.5625, 0.3425591437758985), ('DIOD', 4.6913580894470215, 0.8442843254320196), ('LRCX', 40.8125, 0.09704968085534645), ('LRCX', 40.8125, 0.09704968085534645), ('ADI', 47.0, 0.08427319361508141), ('ADI', 47.0, 0.08427319361508141), ('VIAV', 435.6868591308594, 0.009091024934307648), ('BIIB', 42.625, 0.09292293489522174), ('LOGI', 5.84375, 0.677790819235735), ('NTAP', 50.4375, 0.07852966740835345), ('NTAP', 50.4375, 0.07852966740835345), ('ULBI', 10.375, 0.38176772047313995), ('VOXX', 48.3125, 0.08198375368504686), ('MGIC', 27.583332061767578, 0.14359541809667103), ('MKSI', 34.75, 0.11398101006931875), ('MKSI', 34.75, 0.11398101006931875), ('CAMP', 31.71875, 0.12487377654884971), ('DSGX', 27.1875, 0.14568607264032465), ('NKTR', 30.75, 0.1288078081271163), ('OCC', 177.3333282470703, 0.022335565113797286), ('SSYS', 3.0729169845581055, 1.2889512212053484), ('SSYS', 3.0729169845581055, 1.2889512212053484), ('SMTC', 30.75, 0.1288078081271163), ('SMTC', 30.75, 0.1288078081271163), ('ICAD', 15.9375, 0.2485233003864362), ('INTZ', 41.25, 0.0960203660583958), ('INTZ', 41.25, 0.0960203660583958), ('TECH', 30.25, 0.13093686280690336), ('TECH', 30.25, 0.13093686280690336), ('AMKR', 33.5, 0.1182340328330993), ('OBLG', 340.0, 0.011649529705614196)]",146.5510836966266
2000-02-04,"[('DLHC', 24.5, 0.1735652733352075), ('DLHC', 24.5, 0.1735652733352075), ('SNGX', 875.0, 0.00485982765338581), ('CLBS', 33125.0, 0.0001283728059384931), ('NBIX', 25.5, 0.16675879202794447), ('AMD', 19.28125, 0.22054323224441277), ('AMSWA', 13.25, 0.32093201484623274), ('DIOD', 5.259259223937988, 0.8085452752276664), ('LRCX', 46.08333206176758, 0.09227521115471787), ('LRCX', 46.08333206176758, 0.09227521115471787), ('ADI', 55.625, 0.07644672713191161), ('ADI', 55.625, 0.07644672713191161), ('VIAV', 476.82025146484375, 0.008918138824114337), ('BIIB', 37.83333206176758, 0.11239689884491537), ('BIIB', 37.83333206176758, 0.11239689884491537), ('LOGI', 8.640625, 0.49213444591248706), ('NTAP', 65.6875, 0.06473604866546274), ('NTAP', 65.6875, 0.06473604866546274), ('ULBI', 10.5, 0.40498563778215085), ('VOXX', 47.5, 0.08952314098342282), ('MGIC', 24.5, 0.1735652733352075), ('MKSI', 37.875, 0.112273246117824), ('MKSI', 37.875, 0.112273246117824), ('CAMP', 36.625, 0.1161050975211627), ('DSGX', 36.5, 0.11650271771815297), ('NKTR', 35.40625, 0.12010165427608356), ('OCC', 213.3333282470703, 0.019932887334827305), ('SSYS', 3.125, 1.3607517429480267), ('SSYS', 3.125, 1.3607517429480267), ('SMTC', 32.625, 0.13034020526322096), ('SMTC', 32.625, 0.13034020526322096), ('ICAD', 15.0, 0.2834899464475056), ('INTZ', 44.75, 0.0950245630550298), ('INTZ', 44.75, 0.0950245630550298), ('TECH', 31.625, 0.13446163467865876), ('TECH', 31.625, 0.13446163467865876), ('AMKR', 44.25, 0.09609828693135783), ('OBLG', 325.0, 0.013084151374500258)]",161.5892694750782
2000-02-11,"[('DLHC', 27.5625, 0.17218171926489118), ('DLHC', 27.5625, 0.17218171926489118), ('SNGX', 962.5, 0.004930658324403702), ('CLBS', 33125.0, 0.00014326818527512643), ('NBIX', 31.625, 0.1500635142209822), ('AMD', 22.40625, 0.2118051274639247), ('AMSWA', 12.9375, 0.36682192365128985), ('DIOD', 4.987654209136963, 0.9515011342495902), ('LRCX', 47.04166793823242, 0.10088414899467281), ('LRCX', 47.04166793823242, 0.10088414899467281), ('ADI', 58.5, 0.08112407926903525), ('ADI', 58.5, 0.08112407926903525), ('VIAV', 465.1592712402344, 0.01020243802641007), ('BIIB', 39.66666793823242, 0.11964097021278661), ('BIIB', 39.66666793823242, 0.11964097021278661), ('LOGI', 7.5625, 0.6275383321968347), ('NTAP', 79.9375, 0.05936836450024785), ('NTAP', 79.9375, 0.05936836450024785), ('ULBI', 13.40625, 0.35399598226488116), ('VOXX', 49.25, 0.09636058146677284), ('MGIC', 26.5, 0.17908523159390802), ('MKSI', 39.3125, 0.12071882066107632), ('MKSI', 39.3125, 0.12071882066107632), ('CAMP', 43.0, 0.11036647993578053), ('DSGX', 33.0, 0.14381086779510796), ('NKTR', 40.578125, 0.11695362063275626), ('OCC', 211.3333282470703, 0.0224562716945918), ('SSYS', 3.2291669845581055, 1.469654142982635), ('SSYS', 3.2291669845581055, 1.469654142982635), ('SMTC', 33.5, 0.14166443693249442), ('SMTC', 33.5, 0.14166443693249442), ('ICAD', 19.0625, 0.2489578301502197), ('INTZ', 67.75, 0.07004809796662086), ('INTZ', 67.75, 0.07004809796662086), ('TECH', 35.6875, 0.13298097757586166), ('TECH', 35.6875, 0.13298097757586166), ('AMKR', 45.5, 0.10430238763161677), ('OBLG', 590.0, 0.008043658707184004)]",180.33882821506538
2000-02-18,[],188.12710114106847
2000-02-25,[],188.12710114106847
2000-03-03,[],188.12710114106847
