,open,high,low,adjclose,volume,percent,Sectors
1998-12-21,23.3125,23.8125,23.1875,13.875285148620605,95300,0.0,[]
1998-12-28,23.75,23.75,23.21875,13.710108757019043,70300,0.0,[]
1999-01-04,23.28125,24.5625,23.171875,14.077177047729492,621400,0.0,[]
1999-01-11,23.75,23.78125,22.375,13.343027114868164,247300,0.0,[]
1999-01-18,22.8125,22.90625,22.5,13.269621849060059,71800,0.0,[]
1999-01-25,22.6875,22.6875,21.4375,12.810781478881836,130400,0.0,[]
1999-02-01,21.8125,22.9375,21.53125,13.43480110168457,171000,0.0,[]
1999-02-08,22.96875,23.21875,22.15625,13.01266860961914,623800,0.0,[]
1999-02-15,22.328125,22.4375,21.53125,12.75572395324707,291600,0.0,[]
1999-02-22,21.875,22.09375,21.625,12.700661659240723,493100,0.0,[]
1999-03-01,21.671875,23.03125,21.09375,13.425619125366211,354800,0.0,[]
1999-03-08,22.984375,25.25,22.84375,14.389184951782227,3433700,0.0,[]
1999-03-15,24.5625,25.3125,24.0,14.55437183380127,1752100,0.0,[]
1999-03-22,25.0,25.125,24.0625,14.58827018737793,575200,0.0,[]
1999-03-29,25.375,25.6875,24.296875,14.477753639221191,234200,0.0,[]
1999-04-05,24.5625,25.5,24.46875,14.956657409667969,1842100,0.0,[]
1999-04-12,25.25,27.15625,25.21875,15.99736499786377,505200,0.0,[]
1999-04-19,27.875,28.34375,26.25,15.767120361328125,1225300,0.0,[]
1999-04-26,26.5625,28.875,26.015625,16.642051696777344,1690100,0.0,[]
1999-05-03,28.25,29.125,28.0,16.88149642944336,1779300,0.0,[]
1999-05-10,28.609375,28.90625,27.25,16.393390655517578,1393600,0.0,[]
1999-05-17,27.4375,28.34375,27.015625,16.614423751831055,782900,0.0,[]
1999-05-24,28.3125,28.59375,27.3125,16.28286361694336,1010500,0.0,[]
1999-05-31,27.5625,28.3125,27.015625,16.68809700012207,519300,0.0,[]
1999-06-07,28.34375,28.75,28.125,16.872295379638672,570300,0.0,[]
1999-06-14,28.75,29.375,28.53125,17.019649505615234,775200,0.0,[]
1999-06-21,28.8125,28.8125,27.375,16.254270553588867,1098300,0.0,[]
1999-06-28,27.40625,28.453125,27.15625,16.80040168762207,317100,0.0,[]
1999-07-05,28.5,29.21875,28.5,17.170650482177734,289400,0.0,[]
1999-07-12,29.25,29.375,28.8125,17.253971099853516,217200,0.0,[]
1999-07-19,29.0625,29.09375,27.703125,16.754114151000977,193300,1.197089947089947,[]
1999-07-26,28.21875,28.75,27.59375,16.929988861083984,185700,1.2242302543507362,[]
1999-08-02,28.390625,29.5,27.953125,17.27248191833496,166100,1.2164276401564538,[]
1999-08-09,29.5,30.171875,29.265625,17.679758071899414,639200,1.3136176066024758,[]
1999-08-16,29.703125,29.921875,29.296875,17.679758071899414,2392100,1.3208852005532503,[]
1999-08-23,29.90625,30.0625,28.71875,17.115114212036133,866400,1.3244985673352436,[]
1999-08-30,29.0,29.109375,28.3125,17.08734893798828,530800,1.260928961748634,[]
1999-09-06,28.78125,30.3125,28.78125,17.79083824157715,377900,1.3554301833568405,[]
1999-09-13,29.75,29.75,28.25,17.14288902282715,845600,1.3323741007194245,[]
1999-09-20,28.96875,28.96875,26.359375,16.067623138427734,780000,1.2485549132947977,[]
1999-09-27,27.1875,27.5625,26.25,16.27219009399414,1903200,1.1961722488038278,[]
1999-10-04,27.625,27.625,25.6875,15.537617683410645,789500,1.065688775510204,[]
1999-10-11,26.125,27.0,26.125,15.667794227600098,1093100,1.0624211853720051,[]
1999-10-18,26.15625,27.703125,25.96875,16.411670684814453,991100,1.1142676767676767,[]
1999-10-25,27.375,27.4375,26.5,16.08622932434082,332500,1.1005089058524173,[]
1999-11-01,27.0625,27.1875,25.375,15.212165832519531,734700,1.0073891625615763,[]
1999-11-08,25.78125,28.0,25.78125,16.588336944580078,775400,1.0270581462291306,[]
1999-11-15,27.984375,29.1875,27.875,16.867290496826172,407600,1.0595794392523366,[]
1999-11-22,28.484375,28.5625,27.21875,16.216407775878906,750100,0.9651355838406198,[]
1999-11-29,27.109375,27.515625,26.921875,16.14201545715332,367800,0.9470812875068194,[]
1999-12-06,27.1875,27.3125,26.15625,15.658507347106934,440600,0.946067415730337,[]
1999-12-13,26.3125,27.375,26.1875,16.067623138427734,1788300,0.9578713968957872,[]
1999-12-20,26.875,27.09375,26.3125,16.17097282409668,2256800,0.9807692307692307,[]
1999-12-27,27.25,28.0,26.71875,16.17097282409668,1447700,0.956953642384106,[]
2000-01-03,27.3125,28.40625,25.875,16.758499145507812,2041400,0.9808951965065502,[]
2000-01-10,28.078125,28.3125,27.5625,16.749176025390625,509100,0.9718614718614719,[]
2000-01-17,27.875,29.234375,27.875,17.364675521850586,1128400,1.060364464692483,[]
2000-01-24,29.28125,29.46875,26.5,15.928498268127441,2123100,0.9410468319559229,[]
