,close,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy,resistance,shortPeak,shortTrough
1995-01-02,10.355527877807617,26595514,F,10.355527877807617,,0.0,,0.0,0.0,0,0,0,0,,False,0.0,0.0,0.0
1995-01-09,10.446765899658203,33107869,F,10.446765899658203,,0.0,0.2448666718755652,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-01-16,9.625622749328613,45654706,F,10.446765899658203,,0.0,0.3789684259050319,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-01-23,9.260669708251953,65118882,F,10.446765899658203,,0.0,0.4263344944111567,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-01-30,9.397526741027832,84759519,F,10.446765899658203,,0.0,0.3016120117049921,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-02-06,9.443145751953125,50540272,F,10.446765899658203,,0.0,-0.4037215808173711,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-02-13,9.58000373840332,43628690,F,10.446765899658203,,0.0,-0.1367539533621821,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-02-20,9.762479782104492,35667927,F,10.446765899658203,,0.0,-0.18246623953183105,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-02-27,9.351907730102539,54502980,F,10.446765899658203,,0.0,0.5280669381206258,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-03-06,9.7168607711792,44454551,F,10.446765899658203,,0.0,-0.1843647631744173,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-03-13,9.397526741027832,32606160,F,10.446765899658203,,0.0,-0.2665281896559927,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-03-20,9.306288719177246,57608865,F,10.446765899658203,,0.0,0.7668092470870536,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-03-27,9.808098793029785,46463029,F,10.446765899658203,,0.0,-0.19347432031511125,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
1995-04-03,9.853717803955078,36959603,F,10.446765899658203,,0.0,-0.20453737529681937,0.0,0.0,0,0,0,0,No Enough Data,False,0.0,0.0,0.0
