,close,Stage
1996-02-19,11.085433006286621,bad sector
1996-02-26,11.496004104614258,bad sector
1996-03-04,11.404766082763672,bad sector
1996-03-11,11.860957145690918,bad sector
1996-03-18,12.271528244018555,bad sector
1996-03-25,12.545243263244629,bad sector
1996-04-01,12.86457633972168,bad sector
1996-04-08,12.499624252319336,bad sector
1996-04-15,13.001433372497559,bad sector
1996-04-22,12.86457633972168,bad sector
1996-04-29,13.047053337097168,bad sector
1996-05-06,12.910195350646973,bad sector
1996-05-13,13.594481468200684,bad sector
1996-05-20,13.183910369873047,bad sector
1996-05-27,13.320767402648926,bad sector
1996-06-03,12.773338317871094,bad sector
1996-06-10,12.545243263244629,bad sector
1996-06-17,12.40838623046875,bad sector
1996-06-24,11.815338134765625,bad sector
1996-07-01,11.450385093688965,bad sector
1996-07-08,11.2222900390625,bad sector
1996-07-15,11.769719123840332,bad sector
1996-07-22,11.724100112915039,bad sector
1996-07-29,12.362767219543457,bad sector
1996-08-05,12.317148208618164,bad sector
1996-08-12,12.134671211242676,bad sector
1996-08-19,12.317148208618164,bad sector
1996-08-26,12.225909233093262,bad sector
1996-09-02,11.632862091064453,bad sector
1996-09-09,11.678481101989746,bad sector
1996-09-16,11.678481101989746,bad sector
1996-09-23,11.176671028137207,bad sector
1996-09-30,11.54162311553955,bad sector
1996-10-07,11.678481101989746,bad sector
1996-10-14,11.587242126464844,bad sector
1996-10-21,11.404766082763672,bad sector
1996-10-28,11.131052017211914,bad sector
1996-11-04,11.54162311553955,bad sector
1996-11-11,11.450385093688965,bad sector
1996-11-18,11.724100112915039,bad sector
1996-11-25,11.952195167541504,bad sector
1996-12-02,11.815338134765625,bad sector
1996-12-09,11.678481101989746,bad sector
1996-12-16,11.632862091064453,bad sector
1996-12-23,11.724100112915039,bad sector
1996-12-30,11.860957145690918,bad sector
1997-01-06,12.225909233093262,bad sector
1997-01-13,12.04343318939209,bad sector
1997-01-20,12.271528244018555,bad sector
1997-01-27,11.724100112915039,bad sector
1997-02-03,11.769719123840332,bad sector
1997-02-10,11.952195167541504,bad sector
1997-02-17,12.089052200317383,bad sector
1997-02-24,11.997814178466797,bad sector
1997-03-03,11.769719123840332,bad sector
1997-03-10,11.724100112915039,bad sector
1997-03-17,11.587242126464844,bad sector
1997-03-24,11.267909049987793,bad sector
1997-03-31,11.267909049987793,bad sector
1997-04-07,11.769719123840332,bad sector
1997-04-14,12.499624252319336,bad sector
1997-04-21,12.499624252319336,bad sector
1997-04-28,12.682100296020508,bad sector
1997-05-05,13.366386413574219,bad sector
1997-05-12,13.366386413574219,bad sector
1997-05-19,13.64009952545166,bad sector
1997-05-26,13.685718536376953,bad sector
1997-06-02,13.913814544677734,bad sector
1997-06-09,14.00505256652832,bad sector
1997-06-16,14.1419095993042,bad sector
1997-06-23,14.233147621154785,bad sector
1997-06-30,14.598100662231445,bad sector
1997-07-07,14.734957695007324,bad sector
1997-07-14,14.57529067993164,bad sector
1997-07-21,14.803386688232422,bad sector
1997-07-28,14.82619571685791,bad sector
1997-08-04,14.963052749633789,bad sector
1997-08-11,14.552481651306152,bad sector
1997-08-18,15.670148849487305,bad sector
1997-08-25,15.692957878112793,bad sector
1997-09-01,16.37724494934082,bad sector
1997-09-08,16.14914894104004,bad sector
1997-09-15,16.49129295349121,bad sector
1997-09-22,16.03510093688965,bad sector
1997-09-29,16.970291137695312,bad sector
1997-10-06,17.97391128540039,bad sector
1997-10-13,17.312435150146484,bad sector
1997-10-20,16.94748306274414,bad sector
1997-10-27,15.943862915039062,bad sector
1997-11-03,16.696577072143555,bad sector
1997-11-10,15.829815864562988,bad sector
1997-11-17,15.6473388671875,bad sector
1997-11-24,15.692957878112793,bad sector
1997-12-01,16.856243133544922,bad sector
1997-12-08,17.129959106445312,bad sector
1997-12-15,16.742197036743164,bad sector
1997-12-22,17.0615291595459,bad sector
1997-12-29,17.608959197998047,bad sector
1998-01-05,15.966672897338867,bad sector
1998-01-12,17.882673263549805,bad sector
1998-01-19,17.51772117614746,bad sector
1998-01-26,18.612577438354492,bad sector
1998-02-02,18.772245407104492,bad sector
1998-02-09,19.570579528808594,bad sector
1998-02-16,20.16362762451172,bad sector
1998-02-23,20.642627716064453,bad sector
1998-03-02,21.87434196472168,bad sector
1998-03-09,21.634841918945312,bad sector
1998-03-16,23.220104217529297,bad sector
1998-03-23,23.744722366333008,bad sector
1998-03-30,23.813152313232422,bad sector
1998-04-06,25.759899139404297,bad sector
