,holding,total
1999-09-13,[],100.0
1999-09-20,[],100.0
1999-09-27,[],100.0
1999-10-04,[],100.0
1999-10-11,[],100.0
1999-10-18,[],100.0
1999-10-25,[],100.0
1999-11-01,[],100.0
1999-11-08,[],100.0
1999-11-15,[],100.0
1999-11-22,[],100.0
1999-11-29,[],100.0
1999-12-06,[],100.0
1999-12-13,[],100.0
1999-12-20,[],100.0
1999-12-27,[],100.0
2000-01-03,"[('ORCL', 25.84375, 3.8694074969770256)]",100.0
2000-01-10,[],103.32527206771464
2000-01-17,[],103.32527206771464
2000-01-24,[],103.32527206771464
2000-01-31,[],103.32527206771464
2000-02-07,[],103.32527206771464
2000-02-14,[],103.32527206771464
2000-02-21,[],103.32527206771464
2000-02-28,[],103.32527206771464
2000-03-06,[],103.32527206771464
2000-03-13,[],103.32527206771464
2000-03-20,[],103.32527206771464
2000-03-27,[],103.32527206771464
2000-04-03,[],103.32527206771464
2000-04-10,[],103.32527206771464
2000-04-17,[],103.32527206771464
2000-04-24,[],103.32527206771464
2000-05-01,"[('PWR', 55.625, 1.8575329809926227)]",103.32527206771464
2000-05-08,"[('PWR', 52.75, 1.8575329809926227)]",97.98486474736085
2000-05-15,"[('PWR', 51.375, 1.8575329809926227)]",95.43075689849599
2000-05-22,[],83.47288833335598
2000-05-29,[],83.47288833335598
2000-06-05,"[('PWR', 57.375, 1.4548651561369235)]",83.47288833335598
2000-06-12,"[('PWR', 62.0625, 1.4548651561369235)]",90.29256875274781
2000-06-19,"[('PWR', 57.75, 1.4548651561369235)]",84.01846276690733
2000-06-26,"[('PWR', 55.0, 1.4548651561369235)]",80.0175835875308
2000-07-03,"[('PWR', 56.75, 1.4548651561369235)]",82.5635976107704
2000-07-10,"[('LH', 22.53125, 2.970265616967478)]",66.92379718229849
2000-07-17,"[('LH', 24.296875, 2.970265616967478)]",72.1681724122567
2000-07-24,"[('LH', 25.359375, 2.9702656169674775)]",75.32407963028463
2000-07-31,"[('LH', 26.75, 2.9702656169674775)]",79.45460525388002
2000-08-07,"[('LH', 26.546875, 2.9702656169674775)]",78.8512700504335
2000-08-14,"[('LH', 27.40625, 2.9702656169674775)]",81.40384206501493
2000-08-21,"[('LH', 28.5, 2.9702656169674775)]",84.65257008357311
2000-08-28,"[('LH', 30.75, 2.9702656169674775)]",91.33566772174993
2000-09-04,"[('LH', 31.453125, 2.9702656169674775)]",93.42413573368019
2000-09-11,"[('LH', 32.296875, 2.9702656169674775)]",95.9302973479965
2000-09-18,"[('LH', 27.75, 2.9702656169674775)]",82.4248708708475
2000-09-25,"[('LH', 29.9375, 1.485132808483739), ('WRB', 4.5514397621154785, 9.768593187601956)]",88.92232690796386
2000-10-02,"[('LH', 30.375, 1.4572325299189381), ('WRB', 4.444444179534912, 9.959274165283741)]",88.52687619257549
2000-10-09,"[('LH', 30.3125, 1.4398058417773076), ('WRB', 4.329217910766602, 10.081293083060885)]",87.28822915774927
2000-10-16,"[('LH', 29.625, 1.4761180156598863), ('WRB', 4.444444179534912, 9.839249734597916)]",87.45999242784826
2000-10-23,"[('LH', 32.25, 1.4260876537547675), ('WRB', 4.510287761688232, 10.196982823192721)]",91.9826536671825
2000-10-30,"[('LH', 33.21875, 1.4179257670991785), ('WRB', 4.592593193054199, 10.256018679612664)]",94.20344315165167
2000-11-06,"[('LH', 36.75, 1.375068697824321), ('WRB', 4.77366304397583, 10.585953423925757)]",101.06754929008758
2000-11-13,"[('LH', 37.3125, 1.388054514806867), ('WRB', 4.938271999359131, 10.487835439289809)]",103.58356816746246
2000-11-20,"[('LH', 34.765625, 1.4562780903435433), ('WRB', 5.053497791290283, 10.018490177606877)]",101.2568359691995
2000-11-27,"[('LH', 35.4375, 1.427057781628858), ('WRB', 4.944444179534912, 10.227916081202386)]",101.14272027294533
2000-12-04,"[('LH', 36.9375, 0.961871553915508), ('MET', 32.531192779541016, 1.0921557891691718), ('WRB', 5.267489910125732, 6.744983118896191)]",106.58739156826223
2000-12-11,"[('LH', 39.265625, 0.9123983769294842), ('MET', 31.19429588317871, 1.148475755096002), ('WRB', 5.2839508056640625, 6.780133622879054)]",107.47767755736534
2000-12-18,"[('LH', 41.484375, 0.9123789753483074), ('MET', 30.247325897216797, 1.2513328181169117), ('WRB', 6.041152000427246, 6.265273833995258)]",113.54841466639482
2000-12-25,"[('LH', 44.0, 0.8947839645362787), ('MET', 31.19429588317871, 1.262105565294279), ('WRB', 6.213992118835449, 6.335781199377286)]",118.1114833187888
2001-01-01,"[('LH', 33.0, 0.9982065671394047), ('MET', 28.130569458007812, 1.170997151862606), ('WRB', 5.3333330154418945, 6.176403502317403)]",98.82245014680106
2001-01-08,"[('LH', 33.734375, 0.976035236821957), ('MET', 27.629234313964844, 1.1917065206372264), ('WRB', 5.302468776702881, 6.209548811834651)]",98.77781607649712
2001-01-15,"[('LH', 30.296875, 1.0307723713766541), ('MET', 27.684938430786133, 1.128020629958298), ('WRB', 5.012345790863037, 6.230452365433262)]",93.6875450671562
2001-01-22,"[('LH', 35.59375, 0.9350096274982845), ('MET', 29.300357818603516, 1.1358393346185165), ('WRB', 4.831275939941406, 6.888552701705275)]",99.8414967863012
2001-01-29,"[('LH', 33.0625, 0.9805167228766654), ('MET', 29.76827049255371, 1.08902309787258), ('WRB', 4.722221851348877, 6.865059535661085)]",97.25500245032924
2001-02-05,"[('LH', 33.625, 0.9908275664708087), ('MET', 28.92156982421875, 1.1519629510111113), ('WRB', 5.168724060058594, 6.445802974864798)]",99.94973076774282
2001-02-12,"[('LH', 36.3125, 0.9615142077585696), ('MET', 28.65418815612793, 1.218494988550782), ('WRB', 5.547325134277344, 6.294021681457017)]",104.74495400769916
2001-02-19,"[('LH', 36.75, 0.9394605261540117), ('MET', 27.040998458862305, 1.2767714324115422), ('WRB', 5.606996059417725, 6.157517139354883)]",103.57552300847979
2001-02-26,"[('LH', 39.4275016784668, 0.9355779499028358), ('MET', 28.36898422241211, 1.3002757131144886), ('WRB', 6.074073791503906, 6.072942551624394)]",110.66250357039175
2001-03-05,"[('LH', 35.599998474121094, 1.0241233935794158), ('MET', 28.903743743896484, 1.2613864685413914), ('WRB', 6.337449073791504, 5.752912697873046)]",109.37637374621676
2001-03-12,"[('LH', 31.1200008392334, 1.5819148880400666), ('WRB', 6.024691104888916, 8.17123928618584)]",98.45838528680537
2001-03-19,"[('LH', 29.75, 1.627381313011422), ('WRB', 6.0905351638793945, 7.9491527032333735)]",96.82918812417961
2001-03-26,"[('KMX', 3.7699999809265137, 8.496433505610957), ('LH', 30.0625, 1.0654986828805557), ('WRB', 5.9341559410095215, 5.397828178517243)]",96.0946624622901
2001-04-02,"[('KMX', 3.8499999046325684, 8.214134790111373), ('LH', 29.612499237060547, 1.0679415440554694), ('WRB', 5.670782089233398, 5.576729569385195)]",94.87325447570355
2001-04-09,"[('KMX', 3.994999885559082, 8.283652609677173), ('LH', 32.900001525878906, 1.0058720271377686), ('WRB', 5.6177778244018555, 5.890797440212945)]",99.27957368301449
2001-04-16,"[('KMX', 4.195000171661377, 8.04426566244469), ('LH', 34.32500076293945, 0.9831229449317381), ('WRB', 5.425514221191406, 6.2198152025919615)]",101.23708750453558
2001-04-23,"[('KMX', 5.204999923706055, 7.10489873577487), ('LH', 35.974998474121094, 1.0279638345016198), ('WRB', 5.4189300537109375, 6.824409433430956)]",110.94299213294232
2001-04-30,"[('KMX', 5.275000095367432, 6.986001882326177), ('LH', 34.849998474121094, 1.0574221580776415), ('WRB', 5.458436012268066, 6.751230666198724)]",110.55348178652294
