Date,Close,Volume
2003-11-14,16.299999237060547,4368000
2003-11-21,16.43000030517578,397500
2003-11-28,16.649999618530273,253400
2003-12-05,17.059999465942383,280200
2003-12-12,17.950000762939453,218900
2003-12-19,15.390000343322754,464800
2003-12-26,16.25,166000
2004-01-02,17.209999084472656,50300
2004-01-09,17.0,334700
2004-01-16,17.43000030517578,107700
2004-01-23,18.360000610351562,115700
2004-01-30,18.649999618530273,180200
2004-02-06,17.899999618530273,300700
2004-02-13,16.299999237060547,92600
2004-02-20,17.43000030517578,128700
2004-02-27,16.989999771118164,158900
2004-03-05,16.469999313354492,68300
2004-03-12,15.989999771118164,124800
2004-03-19,15.75,299100
2004-03-26,16.100000381469727,58100
2004-04-02,16.5,126800
2004-04-09,16.229999542236328,130600
2004-04-16,15.869999885559082,130000
2004-04-23,16.43000030517578,144500
2004-04-30,17.18000030517578,217900
2004-05-07,17.510000228881836,210100
2004-05-14,17.100000381469727,655800
2004-05-21,16.40999984741211,193200
2004-05-28,16.200000762939453,221000
2004-06-04,16.100000381469727,111800
2004-06-11,16.139999389648438,58700
2004-06-18,16.399999618530273,125900
2004-06-25,15.869999885559082,469400
2004-07-02,15.569999694824219,489900
2004-07-09,14.520000457763672,90300
2004-07-16,15.25,266000
2004-07-23,16.670000076293945,187500
2004-07-30,16.360000610351562,327400
2004-08-06,15.100000381469727,192700
2004-08-13,16.020000457763672,151500
2004-08-20,16.25,115000
2004-08-27,17.25,115100
2004-09-03,18.5,325100
2004-09-10,18.889999389648438,175800
2004-09-17,19.100000381469727,163000
2004-09-24,18.389999389648438,248600
2004-10-01,18.739999771118164,231500
2004-10-08,17.889999389648438,162300
2004-10-15,17.190000534057617,67700
2004-10-22,17.93000030517578,24600
2004-10-29,17.6299991607666,359500
2004-11-05,18.0,204300
2004-11-12,17.8700008392334,28500
2004-11-19,17.350000381469727,62800
2004-11-26,17.049999237060547,206400
2004-12-03,17.600000381469727,201600
2004-12-10,18.149999618530273,164200
2004-12-17,18.399999618530273,368300
2004-12-24,18.860000610351562,23300
2004-12-31,19.0,69500
2005-01-07,18.0,214400
2005-01-14,17.969999313354492,115100
2005-01-21,17.90999984741211,106400
2005-01-28,18.09000015258789,46200
2005-02-04,18.81999969482422,130400
2005-02-11,19.020000457763672,232100
2005-02-18,17.969999313354492,161900
2005-02-25,17.969999313354492,712000
2005-03-04,18.700000762939453,170800
2005-03-11,18.670000076293945,133800
2005-03-18,19.229999542236328,98300
2005-03-25,19.350000381469727,153300
2005-04-01,19.649999618530273,137200
2005-04-08,19.600000381469727,170400
2005-04-15,18.450000762939453,102800
2005-04-22,17.709999084472656,230800
2005-04-29,19.690000534057617,161600
2005-05-06,19.040000915527344,145600
2005-05-13,17.81999969482422,209500
2005-05-20,18.360000610351562,199800
2005-05-27,20.010000228881836,191100
2005-06-03,20.84000015258789,63100
2005-06-10,20.200000762939453,89200
2005-06-17,19.579999923706055,115900
2005-06-24,19.489999771118164,155600
2005-07-01,20.139999389648438,81900
2005-07-08,21.479999542236328,56200
2005-07-15,21.850000381469727,89300
2005-07-22,22.020000457763672,72200
2005-07-29,22.229999542236328,76900
2005-08-05,21.760000228881836,115000
2005-08-12,23.139999389648438,287600
2005-08-19,23.0,149700
2005-08-26,22.93000030517578,151100
2005-09-02,22.899999618530273,193300
2005-09-09,22.3700008392334,187700
2005-09-16,22.899999618530273,192800
2005-09-23,22.959999084472656,134700
2005-09-30,23.040000915527344,201800
2005-10-07,22.0,59500
2005-10-14,21.56999969482422,61100
2005-10-21,23.0,111000
2005-10-28,23.110000610351562,67100
2005-11-04,24.0,89100
2005-11-11,24.18000030517578,96800
2005-11-18,22.979999542236328,128200
2005-11-25,23.68000030517578,109500
2005-12-02,22.239999771118164,67300
2005-12-09,21.8799991607666,179300
