,close,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy,resistance
1995-01-02,0.375,1412812800,AAPL,0.375,,0.0,,0.0,0.0,0,0,0,0,,False,0
1995-01-09,0.40066999197006226,2665857600,AAPL,0.40066999197006226,,0.0,0.8869149543378996,0.0,0.0,0,0,0,0,,False,0
1995-01-16,0.38058000802993774,1961400000,AAPL,0.40066999197006226,,0.0,-0.2642517739882281,0.0,0.0,0,0,0,0,,False,0
1995-01-23,0.3560270071029663,1678667200,AAPL,0.40066999197006226,,0.0,-0.1441484653818701,0.0,0.0,0,0,0,0,,False,0
1995-01-30,0.36160698533058167,1124524800,AAPL,0.40066999197006226,,0.0,-0.33010855278520956,0.0,0.0,0,0,0,0,,False,0
1995-02-06,0.390625,1673851200,AAPL,0.40066999197006226,,0.0,0.48849647424405407,0.0,0.0,0,0,0,0,,False,0
1995-02-13,0.3794640004634857,974030400,AAPL,0.40066999197006226,,0.0,-0.4180902101692193,0.0,0.0,0,0,0,0,,False,0
1995-02-20,0.3482140004634857,1478523200,AAPL,0.40066999197006226,,0.0,0.5179435877976704,0.0,0.0,0,0,0,0,,False,0
1995-02-27,0.359375,1130740800,AAPL,0.40066999197006226,,0.0,-0.23522282234056258,0.0,0.0,0,0,0,0,,False,0
1995-03-06,0.3526790142059326,982475200,AAPL,0.40066999197006226,,0.0,-0.13112253489040104,0.0,0.0,0,0,0,0,,False,0
1995-03-13,0.313616007566452,2316966400,AAPL,0.40066999197006226,,0.0,1.3582950490760481,0.0,0.0,0,0,0,0,,False,0
1995-03-20,0.3370540142059326,1272611200,AAPL,0.40066999197006226,,0.0,-0.45074248810858886,0.0,0.0,0,0,0,0,,False,0
1995-03-27,0.31473198533058167,1786131200,AAPL,0.40066999197006226,,0.0,0.40351680073222673,0.0,0.0,0,0,0,0,,False,0
1995-04-03,0.328125,1865908800,AAPL,0.40066999197006226,,0.0,0.044665027966590554,0.0,0.0,0,0,0,0,,False,0
1995-04-10,0.34151801466941833,981388800,AAPL,0.40066999197006226,,0.0,-0.4740424612392632,0.0,0.0,0,0,0,0,,False,0
1995-04-17,0.34933000802993774,1715504000,AAPL,0.40066999197006226,,0.0,0.7480370674700996,0.0,0.0,0,0,0,0,,False,0
1995-04-24,0.34151801466941833,1111499200,AAPL,0.40066999197006226,,0.0,-0.35208591760788666,0.0,0.0,0,0,0,0,,False,0
1995-05-01,0.3470979928970337,978398400,AAPL,0.40066999197006226,,0.0,-0.11974889410626655,0.0,0.0,0,0,0,0,,False,0
1995-05-08,0.389508992433548,2156548800,AAPL,0.40066999197006226,,0.0,1.2041622308458395,0.0,0.0,0,0,0,0,,False,0
1995-05-15,0.3816959857940674,1683180800,AAPL,0.40066999197006226,,0.0,-0.21950256817745095,0.0,0.0,0,0,0,0,,False,0
1995-05-22,0.38113799691200256,1210630400,AAPL,0.40066999197006226,,0.0,-0.28074844960208667,0.0,0.0,0,0,0,0,,False,0
1995-05-29,0.376116007566452,648334400,AAPL,0.40066999197006226,,0.0,-0.46446545535284756,0.0,0.0,0,0,0,0,,False,0
1995-06-05,0.38839301466941833,1017206400,AAPL,0.40066999197006226,,0.0,0.5689533055781091,0.0,0.0,0,0,0,0,,False,0
1995-06-12,0.391741007566452,638075200,AAPL,0.40066999197006226,,0.0,-0.3727180639052212,0.0,0.0,0,0,0,0,,False,0
1995-06-19,0.43526801466941833,2539958400,AAPL,0.43526801466941833,,0.0,2.9806568254023977,0.0,0.0,0,0,0,0,,False,0
1995-06-26,0.4146209955215454,1034286400,AAPL,0.43526801466941833,,0.0,-0.5927939607199866,0.0,0.0,0,0,0,0,,False,0
1995-07-03,0.4341520071029663,787662400,AAPL,0.43526801466941833,,0.0,-0.2384484606971531,0.0,0.0,0,0,0,0,,False,0
1995-07-10,0.43526801466941833,1426689600,AAPL,0.43526801466941833,,0.0,0.811295803887554,0.0,0.0,0,0,0,0,,False,0
1995-07-17,0.390625,2090984000,AAPL,0.43526801466941833,,0.0,0.46561943116428406,0.0,0.0,0,0,0,0,,False,0
1995-07-24,0.40625,1235718400,AAPL,0.43526801466941833,0.38231688750687465,0.0,-0.4090254157851041,0.0,0.0,0,0,0,0,,False,0
1995-07-31,0.3950890004634857,1050817600,AAPL,0.43526801466941833,0.3837161583285178,0.0,-0.14963020701156504,1.0535706679026287,-0.1722955004097162,0,0,0,0,,False,0
1995-08-07,0.38448700308799744,1168328000,AAPL,0.43526801466941833,0.3843882271679499,1.0017514739081086,0.11182759024972544,0.9596101799326314,-0.2537095199594207,0,0,0,0,,False,0
1995-08-14,0.40066999197006226,1265958400,AAPL,0.43526801466941833,0.38613916193285297,1.004555120685676,0.08356420457268854,1.0527878068112926,-0.13851202772170113,0,0,0,0,,False,0
1995-08-21,0.3995540142059326,1164900800,AAPL,0.43526801466941833,0.3877748938657904,1.0042361202752645,-0.07982695165970699,1.1222575990994355,-0.08091384425305681,0,0,0,0,,False,0
