Date,holding,total
2010-01-03,[],100.0
2010-01-10,[],100.0
2010-01-17,[],100.0
2010-01-24,[],100.0
2010-01-31,[],100.0
2010-02-07,[],100.0
2010-02-14,[],100.0
2010-02-21,[],100.0
2010-02-28,[],100.0
2010-03-07,[],100.0
2010-03-14,[],100.0
2010-03-21,[],100.0
2010-03-28,[],100.0
2010-04-04,[],100.0
2010-04-11,[],100.0
2010-04-18,[],100.0
2010-04-25,[],100.0
2010-05-02,[],100.0
2010-05-09,[],100.0
2010-05-16,[],100.0
2010-05-23,[],100.0
2010-05-30,[],100.0
2010-06-06,[],100.0
2010-06-13,[],100.0
2010-06-20,[],100.0
2010-06-27,[],100.0
2010-07-04,[],100.0
2010-07-11,[],100.0
2010-07-18,[],100.0
2010-07-25,[],100.0
2010-08-01,[],100.0
2010-08-08,[],100.0
2010-08-15,[],100.0
2010-08-22,[],100.0
2010-08-29,[],100.0
2010-09-05,[],100.0
2010-09-12,[],100.0
2010-09-19,[],100.0
2010-09-26,[],100.0
2010-10-03,[],100.0
2010-10-10,[],100.0
2010-10-17,[],100.0
2010-10-24,[],100.0
2010-10-31,[],100.0
2010-11-07,[],100.0
2010-11-14,[],100.0
2010-11-21,[],100.0
2010-11-28,[],100.0
2010-12-05,[],100.0
2010-12-12,[],100.0
2010-12-19,[],100.0
2010-12-26,[],100.0
2011-01-02,[],100.0
2011-01-09,[],100.0
2011-01-16,[],100.0
2011-01-23,[],100.0
2011-01-30,[],100.0
2011-02-06,[],100.0
2011-02-13,[],100.0
2011-02-20,[],100.0
2011-02-27,[],100.0
2011-03-06,[],100.0
2011-03-13,[],100.0
2011-03-20,[],100.0
2011-03-27,[],100.0
2011-04-03,[],100.0
2011-04-10,[],100.0
2011-04-17,[],100.0
2011-04-24,[],100.0
2011-05-01,[],100.0
2011-05-08,[],100.0
2011-05-15,[],100.0
2011-05-22,[],100.0
2011-05-29,[],100.0
2011-06-05,[],100.0
2011-06-12,[],100.0
2011-06-19,[],100.0
2011-06-26,[],100.0
2011-07-03,[],100.0
2011-07-10,[],100.0
2011-07-17,[],100.0
2011-07-24,[],100.0
2011-07-31,[],100.0
2011-08-07,[],100.0
2011-08-14,[],100.0
2011-08-21,[],100.0
2011-08-28,[],100.0
2011-09-04,[],100.0
2011-09-11,[],100.0
2011-09-18,[],100.0
2011-09-25,[],100.0
2011-10-02,[],100.0
2011-10-09,[],100.0
2011-10-16,[],100.0
2011-10-23,[],100.0
2011-10-30,[],100.0
2011-11-06,[],100.0
2011-11-13,[],100.0
2011-11-20,[],100.0
2011-11-27,[],100.0
2011-12-04,[],100.0
2011-12-11,[],100.0
2011-12-18,[],100.0
2011-12-25,[],100.0
2012-01-01,[],100.0
2012-01-08,[],100.0
2012-01-15,[],100.0
2012-01-22,[],100.0
2012-01-29,[],100.0
2012-02-05,[],100.0
2012-02-12,[],100.0
2012-02-19,[],100.0
2012-02-26,[],100.0
2012-03-04,[],100.0
2012-03-11,[],100.0
2012-03-18,[],100.0
2012-03-25,[],100.0
2012-04-01,[],100.0
2012-04-08,[],100.0
2012-04-15,[],100.0
2012-04-22,[],100.0
2012-04-29,[],100.0
2012-05-06,[],100.0
2012-05-13,[],100.0
2012-05-20,[],100.0
2012-05-27,[],100.0
2012-06-03,[],100.0
2012-06-10,[],100.0
2012-06-17,[],100.0
2012-06-24,[],100.0
2012-07-01,[],100.0
2012-07-08,[],100.0
2012-07-15,[],100.0
2012-07-22,[],100.0
2012-07-29,[],100.0
2012-08-05,[],100.0
2012-08-12,[],100.0
2012-08-19,[],100.0
2012-08-26,[],100.0
2012-09-02,[],100.0
2012-09-09,[],100.0
2012-09-16,[],100.0
2012-09-23,[],100.0
2012-09-30,[],100.0
2012-10-07,[],100.0
2012-10-14,[],100.0
2012-10-21,[],100.0
2012-10-28,[],100.0
2012-11-04,[],100.0
2012-11-11,[],100.0
2012-11-18,[],100.0
2012-11-25,[],100.0
2012-12-02,[],100.0
2012-12-09,[],100.0
2012-12-16,[],100.0
2012-12-23,[],100.0
2012-12-30,[],100.0
2013-01-06,[],100.0
2013-01-13,[],100.0
2013-01-20,[],100.0
2013-01-27,[],100.0
2013-02-03,[],100.0
2013-02-10,[],100.0
2013-02-17,[],100.0
2013-02-24,[],100.0
2013-03-03,[],100.0
2013-03-10,[],100.0
2013-03-17,[],100.0
2013-03-24,[],100.0
2013-03-31,[],100.0
2013-04-07,[],100.0
2013-04-14,[],100.0
2013-04-21,[],100.0
2013-04-28,[],100.0
2013-05-05,[],100.0
2013-05-12,[],100.0
2013-05-19,[],100.0
2013-05-26,[],100.0
2013-06-02,[],100.0
2013-06-09,[],100.0
2013-06-16,[],100.0
2013-06-23,[],100.0
2013-06-30,[],100.0
2013-07-07,[],100.0
2013-07-14,[],100.0
2013-07-21,[],100.0
2013-07-28,[],100.0
2013-08-04,[],100.0
2013-08-11,[],100.0
2013-08-18,[],100.0
2013-08-25,[],100.0
2013-09-01,[],100.0
2013-09-08,[],100.0
2013-09-15,[],100.0
2013-09-22,[],100.0
2013-09-29,[],100.0
2013-10-06,[],100.0
2013-10-13,[],100.0
2013-10-20,[],100.0
2013-10-27,[],100.0
2013-11-03,[],100.0
2013-11-10,[],100.0
2013-11-17,[],100.0
2013-11-24,[],100.0
2013-12-01,[],100.0
2013-12-08,[],100.0
2013-12-15,[],100.0
2013-12-22,[],100.0
2013-12-29,[],100.0
2014-01-05,[],100.0
2014-01-12,[],100.0
2014-01-19,[],100.0
2014-01-26,[],100.0
2014-02-02,[],100.0
2014-02-09,[],100.0
2014-02-16,[],100.0
2014-02-23,[],100.0
2014-03-02,[],100.0
2014-03-09,[],100.0
2014-03-16,[],100.0
2014-03-23,[],100.0
2014-03-30,[],100.0
2014-04-06,[],100.0
2014-04-13,[],100.0
2014-04-20,[],100.0
2014-04-27,[],100.0
2014-05-04,[],100.0
2014-05-11,[],100.0
2014-05-18,[],100.0
2014-05-25,[],100.0
2014-06-01,[],100.0
2014-06-08,[],100.0
2014-06-15,[],100.0
2014-06-22,[],100.0
2014-06-29,[],100.0
2014-07-06,[],100.0
2014-07-13,[],100.0
2014-07-20,[],100.0
2014-07-27,[],100.0
2014-08-03,[],100.0
2014-08-10,[],100.0
2014-08-17,[],100.0
2014-08-24,[],100.0
2014-08-31,[],100.0
2014-09-07,[],100.0
2014-09-14,[],100.0
2014-09-21,[],100.0
2014-09-28,[],100.0
2014-10-05,[],100.0
2014-10-12,[],100.0
2014-10-19,[],100.0
2014-10-26,[],100.0
2014-11-02,[],100.0
2014-11-09,[],100.0
2014-11-16,[],100.0
2014-11-23,[],100.0
2014-11-30,[],100.0
2014-12-07,[],100.0
2014-12-14,[],100.0
2014-12-21,[],100.0
2014-12-28,[],100.0
2015-01-04,[],100.0
2015-01-11,[],100.0
2015-01-18,[],100.0
2015-01-25,[],100.0
2015-02-01,[],100.0
2015-02-08,[],100.0
2015-02-15,[],100.0
2015-02-22,[],100.0
2015-03-01,[],100.0
2015-03-08,[],100.0
2015-03-15,[],100.0
2015-03-22,[],100.0
2015-03-29,[],100.0
2015-04-05,[],100.0
2015-04-12,[],100.0
2015-04-19,[],100.0
2015-04-26,[],100.0
2015-05-03,[],100.0
2015-05-10,[],100.0
2015-05-17,[],100.0
2015-05-24,[],100.0
2015-05-31,[],100.0
2015-06-07,[],100.0
2015-06-14,[],100.0
2015-06-21,[],100.0
2015-06-28,[],100.0
2015-07-05,[],100.0
2015-07-12,[],100.0
2015-07-19,[],100.0
2015-07-26,[],100.0
2015-08-02,[],100.0
2015-08-09,[],100.0
2015-08-16,[],100.0
2015-08-23,[],100.0
