,open,high,low,close,adjclose,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy
1995-01-02,0.3470979928970337,0.38504499197006226,0.33816999197006226,0.375,0.3178829848766327,1412812800,AAPL,0.0,,0.0,,0.0,0.0,0.0,0.375,0,0,,False
1995-01-09,0.3716520071029663,0.4291290044784546,0.3660709857940674,0.40066999197006226,0.33964306116104126,2665857600,AAPL,0.0,,0.0,0.8869149543378996,0.0,0.0,0.0,0.375,0,0,,False
1995-01-16,0.40066999197006226,0.41964301466941833,0.3794640004634857,0.38058000802993774,0.32261309027671814,1961400000,AAPL,0.0,,0.0,-0.2642517739882281,0.0,0.0,0.0,0.375,0,0,,False
1995-01-23,0.373883992433548,0.38058000802993774,0.3482140004634857,0.3560270071029663,0.3017997741699219,1678667200,AAPL,0.0,,0.0,-0.1441484653818701,0.0,0.0,0.0,0.3560270071029663,0,0,,False
1995-01-30,0.358258992433548,0.376116007566452,0.3560270071029663,0.36160698533058167,0.3065298795700073,1124524800,AAPL,0.0,,0.0,-0.33010855278520956,0.0,0.0,0.0,0.3560270071029663,0,0,,False
1995-02-06,0.3638390004634857,0.3945310115814209,0.3526790142059326,0.390625,0.3311281204223633,1673851200,AAPL,0.0,,0.0,0.48849647424405407,0.0,0.0,0.0,0.3560270071029663,0,0,,False
1995-02-13,0.38839301466941833,0.3973209857940674,0.3794640004634857,0.3794640004634857,0.32166704535484314,974030400,AAPL,0.0,,0.0,-0.4180902101692193,0.0,0.0,0.0,0.3560270071029663,0,0,,False
1995-02-20,0.38058000802993774,0.3816959857940674,0.34375,0.3482140004634857,0.29598838090896606,1478523200,AAPL,0.0,,0.0,0.5179435877976704,0.0,0.0,0.0,0.3482140004634857,0,0,,False
1995-02-27,0.34151801466941833,0.3638390004634857,0.3392859995365143,0.359375,0.3054754137992859,1130740800,AAPL,0.0,,0.0,-0.23522282234056258,0.0,0.0,0.0,0.3482140004634857,0,0,,False
1995-03-06,0.3549109995365143,0.360491007566452,0.3370540142059326,0.3526790142059326,0.2997836470603943,982475200,AAPL,0.0,,0.0,-0.13112253489040104,0.0,0.0,0.0,0.3482140004634857,0,0,,False
