Date,Close,Stage,support
2012-02-12,107.74,volume -0.02784977204592687 1.9505086899600719,0
2012-02-19,107.54,volume -0.23876523722489917 1.9505086899600719,0
2012-02-26,109.14,volume 0.2435321748377688 1.9505086899600719,0
2012-03-04,109.71,volume 0.0031039458853654445 1.9505086899600719,0
2012-03-11,115.95,volume 0.37542870596020594 1.9505086899600719,0
2012-03-18,114.85,volume -0.3540419938313175 1.9505086899600719,0
2012-03-25,115.6,volume 0.2499622729921176 1.9505086899600719,0
2012-04-01,114.84,volume -0.2062643558795032 1.9505086899600719,0
2012-04-08,110.38,volume 0.3582510867352877 1.9505086899600719,0
2012-04-15,110.43,volume -0.07858465119642588 1.9505086899600719,0
2012-04-22,113.41,volume -0.03176316348093644 1.9505086899600719,0
2012-04-29,108.67,volume -0.023000129990513485 1.9505086899600719,0
2012-05-06,105.93,volume 0.16819731222349388 1.9505086899600719,0
2012-05-13,99.27,volume 0.06888771204607358 1.9505086899600719,0
2012-05-20,100.56,volume 0.029178035237213296 1.9505086899600719,0
2012-05-27,96.43,volume -0.2179225099491553 1.9505086899600719,0
2012-06-03,101.84,volume 0.06695392741962558 1.9505086899600719,0
2012-06-10,103.91,volume 0.1676886576214045 1.9505086899600719,0
2012-06-17,102.95,volume -0.11761542838619377 1.9505086899600719,0
2012-06-24,106.2,volume -0.1673685571459993 1.9505086899600719,0
2012-07-01,105.58,volume -0.3615546729686496 1.9505086899600719,0
2012-07-08,106.69,volume 0.5088831968590128 1.9505086899600719,0
2012-07-15,102.45,volume 0.3439104953484453 1.9505086899600719,0
2012-07-22,103.63,volume -0.05203093934126968 1.9505086899600719,0
2012-07-29,104.52,volume -0.12698937268636812 1.9505086899600719,0
2012-08-05,106.68,volume -0.2557190286112704 1.9505086899600719,0
2012-08-12,108.68,volume -0.07419439625950297 1.9505086899600719,0
2012-08-19,107.92,volume 0.09094204138610507 1.9505086899600719,0
2012-08-26,107.36,volume -0.16915558132628516 1.9505086899600719,0
2012-09-02,110.86,volume -0.04122509596043833 1.9505086899600719,0
2012-09-09,114.34,volume 0.48732369684157706 1.9505086899600719,0
2012-09-16,112.5,volume 0.1156581818064557 1.9505086899600719,0
2012-09-23,109.99,volume -0.20921919272588863 1.9505086899600719,0
2012-09-30,112.43,volume -0.015221843406440505 1.9505086899600719,0
2012-10-07,110.35,volume 0.04355144960462476 1.9505086899600719,0
2012-10-14,114.72,volume 0.2333643402369292 1.9505086899600719,0
2012-10-21,113.7,volume -0.08594176665402264 1.9505086899600719,0
2012-10-28,115.13,volume -0.29759987438839874 1.9505086899600719,0
2012-11-04,113.01,volume 0.4849927634549813 1.9505086899600719,0
2012-11-11,112.18,volume 0.1330143684274998 1.9505086899600719,0
2012-11-18,116.84,volume -0.4548422108662321 1.9505086899600719,0
2012-11-25,115.64,volume 0.6766472219799982 1.9505086899600719,0
2012-12-02,115.82,volume -0.17457820783839162 1.9505086899600719,0
2012-12-09,116.98,volume -0.015260483863888896 1.9505086899600719,0
2012-12-16,120.75,volume 0.5691076246972613 1.9505086899600719,0
2012-12-23,118.75,volume -0.6394291904370772 1.9505086899600719,0
2012-12-30,126.87,volume 1.0502456333361039 1.9505086899600719,0
2013-01-06,127.92,volume -0.11484843426893687 1.9505086899600719,0
2013-01-13,130.07,volume 0.0 1.9505086899600719,0
2013-01-20,132.8,volume -0.09563006208254121 1.9505086899600719,0
2013-01-27,134.1,volume 0.43930489805264217 1.9505086899600719,0
2013-02-03,135.29,volume -0.17814839110748604 1.9505086899600719,0
2013-02-10,137.08,volume -0.02212952274307134 1.9505086899600719,0
2013-02-17,135.54,volume -0.20933156239228357 1.9505086899600719,0
2013-02-24,134.06,volume 0.4653952647479287 1.9505086899600719,0
2013-03-03,140.2,volume -0.26432292722199857 1.9505086899600719,0
2013-03-10,142.77,volume 0.4728389896003904 1.9505086899600719,0
2013-03-17,140.92,volume -0.34435402493174894 1.9505086899600719,0
2013-03-24,141.59,volume -0.22157495127882576 1.9505086899600719,0
2013-03-31,137.55,volume 0.307600592384347 1.9505086899600719,0
2013-04-07,144.2,volume -0.04322827224125847 1.9505086899600719,0
2013-04-14,137.04,volume 0.4266572726374609 1.9505086899600719,0
2013-04-21,140.22,volume -0.21188441104644973 1.9505086899600719,0
2013-04-28,144.36,volume 0.061236077640234976 1.9505086899600719,0
2013-05-05,147.49,volume -0.19202159317531686 1.9505086899600719,0
2013-05-12,155.91,volume 0.5648576447875677 1.9505086899600719,0
2013-05-19,152.06,volume -0.20422103431565253 1.9505086899600719,0
2013-05-26,152.05,volume -0.02091002591108948 1.9505086899600719,0
2013-06-02,152.21,volume 0.2728203243135776 1.9505086899600719,0
2013-06-09,148.14,volume -0.22018408218525587 1.9505086899600719,0
2013-06-16,142.75,volume 0.6483992449814524 1.9505086899600719,0
2013-06-23,143.38,volume 0.09794520164955389 1.9505086899600719,0
2013-06-30,146.77,volume -0.5370025090943172 1.9505086899600719,0
2013-07-07,151.39,volume 0.4023026473483502 1.9505086899600719,0
2013-07-14,155.2,volume 0.07828619034618156 1.9505086899600719,0
2013-07-21,155.14,volume -0.1370762640094434 1.9505086899600719,0
2013-07-28,157.09,volume 0.122027415682044 1.9505086899600719,0
2013-08-04,153.76,volume -0.26948794136687493 1.9505086899600719,0
2013-08-11,149.61,volume 0.18089864269508382 1.9505086899600719,0
2013-08-18,150.62,volume -0.13074784970015885 1.9505086899600719,0
2013-08-25,145.42,volume 0.03797643263928796 1.9505086899600719,0
2013-09-01,147.34,volume 0.0006684962910701309 1.9505086899600719,0
2013-09-08,149.83,volume -0.0382547719841263 1.9505086899600719,0
2013-09-15,153.21,volume 0.7322546826751164 1.9505086899600719,0
2013-09-22,150.21,volume -0.44847812284028654 1.9505086899600719,0
2013-09-29,150.97,volume 0.32518700029834813 1.9505086899600719,0
2013-10-06,153.52,volume -0.016203684270083896 1.9505086899600719,0
2013-10-13,159.24,volume 0.16616685013905563 1.9505086899600719,0
2013-10-20,160.67,volume -0.0052017145972664824 1.9505086899600719,0
2013-10-27,161.52,volume -0.0007963033951160492 1.9505086899600719,0
2013-11-03,163.05,volume -0.15610953656697024 1.9505086899600719,0
2013-11-10,164.06,volume -0.10878739435365947 1.9505086899600719,0
2013-11-17,165.97,volume -0.026257243644969508 1.9505086899600719,0
2013-11-24,165.96,volume -0.2757110604431109 1.9505086899600719,0
2013-12-01,165.31,volume 0.5423688077671724 1.9505086899600719,0
2013-12-08,162.49,volume -0.12685863664661134 1.9505086899600719,0
2013-12-15,169.44,volume 0.652896765440317 1.9505086899600719,0
2013-12-22,171.92,volume -0.6845761091553131 1.9505086899600719,0
2013-12-29,172.26,volume 0.294497818295967 1.9505086899600719,0
2014-01-05,172.12,volume 0.6717428593826906 1.9505086899600719,0
2014-01-12,170.1,volume 0.09904600636338823 1.9505086899600719,0
2014-01-19,162.44,volume 0.025284281061734193 1.9505086899600719,0
2014-01-26,160.27,volume 0.10720436280137768 1.9505086899600719,0
2014-02-02,160.41,volume 0.06957610292278993 1.9505086899600719,0
2014-02-09,162.47,volume -0.27889646909174237 1.9505086899600719,0
2014-02-16,160.58,volume -0.19278395462239684 1.9505086899600719,0
2014-02-23,162.13,volume 0.4079273456390473 1.9505086899600719,0
2014-03-02,166.73,volume -0.0002648042454319599 1.9505086899600719,0
2014-03-09,161.0,volume -0.05309490010317275 1.9505086899600719,0
2014-03-16,167.48,volume 0.438910530786808 1.9505086899600719,0
2014-03-23,167.78,volume -0.21295683283867883 1.9505086899600719,0
2014-03-30,166.7,volume 0.01100417062060699 1.9505086899600719,0
2014-04-06,157.56,volume 0.11177573566601207 1.9505086899600719,0
2014-04-13,162.76,volume -0.18429061890339626 1.9505086899600719,0
2014-04-20,160.54,volume 0.008240059054694049 1.9505086899600719,0
2014-04-27,164.03,volume 0.04535808971338939 1.9505086899600719,0
