Date,Close,Stage,support
2012-06-17,760.1,volume 0.03858010472259443 1.9505086899600719,0
2012-06-24,766.0,volume -0.06420463002479404 1.9505086899600719,0
2012-07-01,751.5,volume -0.40670426480505395 1.9505086899600719,0
2012-07-08,738.6,volume 0.32448147193372634 1.9505086899600719,0
2012-07-15,782.7,volume 0.33360784766975615 1.9505086899600719,0
2012-07-22,775.9,volume -0.020642821464180727 1.9505086899600719,0
2012-07-29,759.5,volume -0.196024869687083 1.9505086899600719,0
2012-08-05,762.1,volume -0.1748243996173493 1.9505086899600719,0
2012-08-12,798.4,volume 0.024341716668262015 1.9505086899600719,0
2012-08-19,794.4,volume -0.015221907249286737 1.9505086899600719,0
2012-08-26,798.8,volume -0.17956933069031045 1.9505086899600719,0
2012-09-02,832.4,volume 0.21233685248874035 1.9505086899600719,0
2012-09-09,845.8,volume 0.09290038041734916 1.9505086899600719,0
2012-09-16,835.2,volume 0.09722756972429702 1.9505086899600719,0
2012-09-23,818.1,volume 0.045835016272619766 1.9505086899600719,0
2012-09-30,826.8,volume -0.2956748635373715 1.9505086899600719,0
2012-10-07,810.3,volume 0.14453310725008306 1.9505086899600719,0
2012-10-14,825.5,volume 0.41551683623071445 1.9505086899600719,0
2012-10-21,823.5,volume -0.22091722796340152 1.9505086899600719,0
2012-10-28,819.1,volume -0.3758089583269012 1.9505086899600719,0
2012-11-04,802.1,volume 0.407484371047486 1.9505086899600719,0
2012-11-11,795.9,volume -0.04987805919099708 1.9505086899600719,0
2012-11-18,821.7,volume -0.43438758885738316 1.9505086899600719,0
2012-11-25,862.5,volume 1.4673301040674254 1.9505086899600719,0
2012-12-02,856.8,volume -0.24153776129762816 1.9505086899600719,0
2012-12-09,843.1,volume -0.022509487551823026 1.9505086899600719,0
2012-12-16,854.4,volume 0.5607450374339236 1.9505086899600719,0
2012-12-23,830.6,volume -0.6347223174092457 1.9505086899600719,0
2012-12-30,880.5,volume 0.5524932748721723 1.9505086899600719,0
2013-01-06,890.6,volume 0.3251283168478998 1.9505086899600719,0
2013-01-13,902.0,volume 0.0 1.9505086899600719,0
2013-01-20,935.4,volume -0.108855433867599 1.9505086899600719,0
2013-01-27,946.6,volume 0.21063014551597958 1.9505086899600719,0
2013-02-03,948.6,volume -0.10588354638536768 1.9505086899600719,0
2013-02-10,951.9,volume -0.018744974104196288 1.9505086899600719,0
2013-02-17,929.0,volume -0.2804976210395719 1.9505086899600719,0
2013-02-24,924.2,volume 0.4192459980783094 1.9505086899600719,0
2013-03-03,913.8,volume 0.05892386765916102 1.9505086899600719,0
2013-03-10,887.7,volume 0.2823206697428715 1.9505086899600719,0
2013-03-17,922.1,volume -0.2796994478961097 1.9505086899600719,0
2013-03-24,936.7,volume -0.025989089333698367 1.9505086899600719,0
2013-03-31,939.3,volume 0.10745731511633783 1.9505086899600719,0
2013-04-07,963.9,volume -0.24315389084423544 1.9505086899600719,0
2013-04-14,899.9,volume 0.6091862662508392 1.9505086899600719,0
2013-04-21,908.8,volume -0.15777239179771319 1.9505086899600719,0
2013-04-28,929.0,volume -0.14760931909756947 1.9505086899600719,0
2013-05-05,947.3,volume -0.11400177200991501 1.9505086899600719,0
2013-05-12,972.4,volume 0.13902520906280613 1.9505086899600719,0
2013-05-19,946.8,volume 0.03236626760801942 1.9505086899600719,0
