Date,Close,Stage,support
2012-07-22,136.71,volume -0.06598307790779712 1.9505086899600719,0
2012-07-29,137.37,volume -0.04367477549743437 1.9505086899600719,0
2012-08-05,135.6,volume -0.09041288810790282 1.9505086899600719,0
2012-08-12,132.97,volume 0.015441822193699384 1.9505086899600719,0
2012-08-19,131.06,volume -0.13351680138794775 1.9505086899600719,0
2012-08-26,129.64,volume -0.011296198275981828 1.9505086899600719,0
2012-09-02,130.41,volume -0.08919552721717094 1.9505086899600719,0
2012-09-09,129.24,volume 0.12497156743709081 1.9505086899600719,0
2012-09-16,128.57,volume 0.6618153973264147 1.9505086899600719,0
2012-09-23,129.54,volume -0.2872140987670355 1.9505086899600719,0
2012-09-30,131.09,volume -0.16951289464250696 1.9505086899600719,0
2012-10-07,129.94,volume -0.2986328819149118 1.9505086899600719,0
2012-10-14,132.12,volume 0.4277875083888445 1.9505086899600719,0
2012-10-21,131.4,volume -0.0353784094897297 1.9505086899600719,0
2012-10-28,131.52,volume -0.38247568499692486 1.9505086899600719,0
2012-11-04,125.1,volume 1.0314957304946342 1.9505086899600719,0
2012-11-11,123.5,volume 0.09807076525630931 1.9505086899600719,0
2012-11-18,122.45,volume -0.38424924779277503 1.9505086899600719,0
2012-11-25,127.72,volume 0.8290257281180748 1.9505086899600719,0
2012-12-02,129.08,volume -0.22466351037269539 1.9505086899600719,0
2012-12-09,128.15,volume -0.15140988386822352 1.9505086899600719,0
2012-12-16,129.65,volume 0.8200044895481957 1.9505086899600719,0
2012-12-23,126.5,volume -0.549134036113307 1.9505086899600719,0
2012-12-30,130.74,volume 0.07346773883798852 1.9505086899600719,0
2013-01-06,131.44,volume 0.19947410758528372 1.9505086899600719,0
2013-01-13,133.06,volume 0.0 1.9505086899600719,0
2013-01-20,135.09,volume -0.3218044527596312 1.9505086899600719,0
2013-01-27,137.23,volume 0.4636863323530569 1.9505086899600719,0
2013-02-03,137.84,volume -0.0811480472570193 1.9505086899600719,0
2013-02-10,136.8,volume 0.1725484746141821 1.9505086899600719,0
2013-02-17,139.28,volume -0.245247745814975 1.9505086899600719,0
2013-02-24,140.32,volume 0.5532033984071407 1.9505086899600719,0
2013-03-03,141.02,volume -0.26620490162392785 1.9505086899600719,0
2013-03-10,142.57,volume 0.5215562738237132 1.9505086899600719,0
2013-03-17,143.58,volume -0.31573169835545234 1.9505086899600719,0
2013-03-24,146.84,volume -0.1396750876186219 1.9505086899600719,0
2013-03-31,146.99,volume 0.1932665877594919 1.9505086899600719,0
2013-04-07,148.91,volume -0.019604154436076104 1.9505086899600719,0
2013-04-14,150.44,volume 0.20287975189336693 1.9505086899600719,0
2013-04-21,150.99,volume -0.28232436427395724 1.9505086899600719,0
2013-04-28,152.05,volume 0.26425241224025076 1.9505086899600719,0
2013-05-05,147.9,volume -0.08396647315820505 1.9505086899600719,0
2013-05-12,149.08,volume 0.19038276931700082 1.9505086899600719,0
2013-05-19,142.83,volume -0.07466912638741963 1.9505086899600719,0
2013-05-26,140.38,volume 0.14024993998079527 1.9505086899600719,0
2013-06-02,141.1,volume 0.20421941287314715 1.9505086899600719,0
2013-06-09,140.95,volume -0.3124126283168852 1.9505086899600719,0
2013-06-16,137.19,volume 0.6321797457587865 1.9505086899600719,0
2013-06-23,141.21,volume -0.13329187008407328 1.9505086899600719,0
2013-06-30,139.65,volume -0.4510991511306318 1.9505086899600719,0
2013-07-07,146.27,volume 0.2334571309192559 1.9505086899600719,0
2013-07-14,148.99,volume -0.022368645283081023 1.9505086899600719,0
2013-07-21,149.16,volume -0.21656598814418748 1.9505086899600719,0
2013-07-28,151.12,volume 0.35657646047817426 1.9505086899600719,0
2013-08-04,148.1,volume 0.039673166995093156 1.9505086899600719,0
2013-08-11,140.75,volume 0.05047889383628967 1.9505086899600719,0
2013-08-18,140.38,volume -0.1825762341467515 1.9505086899600719,0
2013-08-25,139.14,volume 0.19977580935730033 1.9505086899600719,0
2013-09-01,137.58,volume -0.09694888789645406 1.9505086899600719,0
2013-09-08,137.95,volume -0.02853715707077009 1.9505086899600719,0
2013-09-15,141.87,volume 0.6903796794015129 1.9505086899600719,0
2013-09-22,141.37,volume -0.35323812826271295 1.9505086899600719,0
2013-09-29,140.23,volume 0.09641048474467007 1.9505086899600719,0
2013-10-06,144.39,volume -0.15551573086061965 1.9505086899600719,0
2013-10-13,146.88,volume 0.07841532028163067 1.9505086899600719,0
2013-10-20,150.3,volume -0.1285490277892749 1.9505086899600719,0
2013-10-27,150.11,volume 0.18747088714714977 1.9505086899600719,0
2013-11-03,149.11,volume 0.06663289450010712 1.9505086899600719,0
2013-11-10,149.58,volume 0.24202081332527126 1.9505086899600719,0
2013-11-17,148.33,volume -0.15938658918368187 1.9505086899600719,0
2013-11-24,145.29,volume -0.0661460969893286 1.9505086899600719,0
2013-12-01,145.87,volume 0.10886756331774228 1.9505086899600719,0
2013-12-08,141.86,volume -0.10473992714510427 1.9505086899600719,0
2013-12-15,145.48,volume 0.7451938720084812 1.9505086899600719,0
2013-12-22,144.5,volume -0.7096573528569152 1.9505086899600719,0
2013-12-29,142.56,volume 0.3355191503843251 1.9505086899600719,0
2014-01-05,145.32,volume 0.5744363676909703 1.9505086899600719,0
2014-01-12,144.14,volume -0.03670567666728275 1.9505086899600719,0
2014-01-19,144.18,volume -0.29784902898361376 1.9505086899600719,0
2014-01-26,148.4,volume 0.5570964735805046 1.9505086899600719,0
2014-02-02,147.07,volume 0.03406028017216234 1.9505086899600719,0
2014-02-09,150.72,volume -0.2186392487842217 1.9505086899600719,0
2014-02-16,152.06,volume 0.08619844263129894 1.9505086899600719,0
2014-02-23,151.43,volume 0.11786490386925275 1.9505086899600719,0
2014-03-02,149.53,volume -0.1201463001292723 1.9505086899600719,0
2014-03-09,152.61,volume 0.10259645880681645 1.9505086899600719,0
2014-03-16,150.81,volume 0.2950870813487432 1.9505086899600719,0
2014-03-23,152.48,volume -0.2883273109062787 1.9505086899600719,0
2014-03-30,153.32,volume 0.15814589388399436 1.9505086899600719,0
2014-04-06,154.74,volume 0.2374608319628635 1.9505086899600719,0
2014-04-13,156.8,volume -0.31392750346301834 1.9505086899600719,0
2014-04-20,159.34,volume 0.008027811082835346 1.9505086899600719,0
2014-04-27,156.58,volume 0.21537111405823617 1.9505086899600719,0
2014-05-04,154.94,volume -0.1249209931233386 1.9505086899600719,0
2014-05-11,153.79,volume 0.25919976275400614 1.9505086899600719,0
2014-05-18,152.74,volume -0.3211150077165209 1.9505086899600719,0
2014-05-25,154.52,volume -0.06292575817057644 1.9505086899600719,0
2014-06-01,154.88,volume 0.09421417289431666 1.9505086899600719,0
2014-06-08,153.72,volume 0.0036175939287512726 1.9505086899600719,0
2014-06-15,158.16,volume 0.5713613314567321 1.9505086899600719,0
2014-06-22,161.33,volume -0.09396315443098413 1.9505086899600719,0
2014-06-29,156.37,volume -0.30773548003660833 1.9505086899600719,0
2014-07-06,158.14,volume -0.07485060758287232 1.9505086899600719,0
2014-07-13,159.16,volume 0.08073273795674729 1.9505086899600719,0
2014-07-20,158.49,volume -0.33433682761693484 1.9505086899600719,0
2014-07-27,156.02,volume 0.5650349207043162 1.9505086899600719,0
2014-08-03,154.73,volume 0.3324457464620021 1.9505086899600719,0
2014-08-10,156.18,volume -0.13787660273545255 1.9505086899600719,0
2014-08-17,157.72,volume -0.24696630542779952 1.9505086899600719,0
2014-08-24,160.58,volume -0.049510572276621034 1.9505086899600719,0
2014-08-31,162.28,volume -0.1662642961987988 1.9505086899600719,0
2014-09-07,157.2,volume 0.3961094748990215 1.9505086899600719,0
2014-09-14,159.29,volume 0.29563386224328436 1.9505086899600719,0
2014-09-21,157.3,volume -0.17264165013243526 1.9505086899600719,0
2014-09-28,159.99,volume -0.006089660613198933 1.9505086899600719,0
2014-10-05,161.93,volume 0.13919443498691564 1.9505086899600719,0
2014-10-12,163.42,volume 0.8177858609421831 1.9505086899600719,0
2014-10-19,168.62,volume -0.4850365455519895 1.9505086899600719,0
2014-10-26,172.61,volume 0.14243628912339545 1.9505086899600719,0
2014-11-02,174.07,volume 0.05424726396274582 1.9505086899600719,0
2014-11-09,168.38,volume -0.03939320154592052 1.9505086899600719,0
2014-11-16,170.43,volume -0.01767819084327804 1.9505086899600719,0
2014-11-23,172.07,volume -0.34095521035130505 1.9505086899600719,0
2014-11-30,171.81,volume 0.4366592656447237 1.9505086899600719,0
2014-12-07,171.8,volume 0.11091864174082877 1.9505086899600719,0
2014-12-14,175.26,volume 0.6344925021485524 1.9505086899600719,0
2014-12-21,182.33,volume -0.6674862806720021 1.9505086899600719,0
2014-12-28,178.36,volume 0.1457393111947145 1.9505086899600719,0
2015-01-04,178.22,volume 0.6413830222219845 1.9505086899600719,0
2015-01-11,183.21,volume -0.13414296440787055 1.9505086899600719,0
2015-01-18,185.73,volume -0.3074988483316533 1.9505086899600719,0
2015-01-25,182.48,volume 0.6110221089165939 1.9505086899600719,0
2015-02-01,174.64,volume -0.016565212607301705 1.9505086899600719,0
2015-02-08,168.49,volume 0.09104632943729918 1.9505086899600719,0
2015-02-15,169.74,volume -0.034395428292284924 1.9505086899600719,0
2015-02-22,167.61,volume 0.008673027979664738 1.9505086899600719,0
2015-03-01,161.36,volume 0.11942189866647124 1.9505086899600719,0
2015-03-08,160.73,volume -0.014997063886699524 1.9505086899600719,0
2015-03-15,166.83,volume 0.2908882399599082 1.9505086899600719,0
2015-03-22,162.77,volume -0.3243225920685069 1.9505086899600719,0
2015-03-29,165.73,volume -0.0173850181399845 1.9505086899600719,0
2015-04-05,165.77,volume -0.0034312288551182624 1.9505086899600719,0
2015-04-12,164.32,volume -0.05969990149465387 1.9505086899600719,0
2015-04-19,168.51,volume -0.0857932249266401 1.9505086899600719,0
2015-04-26,164.96,volume 0.2469608832324266 1.9505086899600719,0
2015-05-03,162.58,volume -0.027388129812528472 1.9505086899600719,0
2015-05-10,162.05,volume 0.23204912129604183 1.9505086899600719,0
2015-05-17,162.42,volume -0.21895751243772532 1.9505086899600719,0
2015-05-24,161.8,volume -0.15329152267823332 1.9505086899600719,0
2015-05-31,155.07,volume 0.5564586336255952 1.9505086899600719,0
2015-06-07,154.22,volume -0.16808452091904458 1.9505086899600719,0
2015-06-14,156.18,volume 0.41617444093773837 1.9505086899600719,0
2015-06-21,152.25,volume -0.23897452826170296 1.9505086899600719,0
2015-06-28,154.59,volume 0.31318931596460686 1.9505086899600719,0
2015-07-05,157.11,volume -0.20847464501976332 1.9505086899600719,0
2015-07-12,157.26,volume -0.09231428380141526 1.9505086899600719,0
2015-07-19,153.4,volume -0.10568691869881075 1.9505086899600719,0
2015-07-26,159.28,volume 0.17412755460564222 1.9505086899600719,0
2015-08-02,160.99,volume -0.10035851136334317 1.9505086899600719,0
2015-08-09,164.93,volume 0.21594320245638166 1.9505086899600719,0
2015-08-16,163.31,bearish,0
2015-08-23,155.28,bearish,0
2015-08-30,146.98,bearish,0
2015-09-06,147.25,bearish,0
2015-09-13,150.56,bearish,0
2015-09-20,153.52,bearish,0
2015-09-27,157.12,bearish,0
2015-10-04,158.87,volume -0.14382641347159053 1.9505086899600719,0
2015-10-11,162.02,volume -0.12484069045304358 1.9505086899600719,0
2015-10-18,161.82,volume -0.016842064862099715 1.9505086899600719,0
2015-10-25,159.7,volume 0.18690868499747615 1.9505086899600719,0
2015-11-01,153.3,volume 0.030410548659601577 1.9505086899600719,0
2015-11-08,151.78,volume -0.13704085218924278 1.9505086899600719,0
2015-11-15,156.3,volume 0.08521652470446672 1.9505086899600719,0
2015-11-22,153.2,volume -0.38132639698904736 1.9505086899600719,0
2015-11-29,151.79,volume 0.6406344343799899 1.9505086899600719,0
2015-12-06,149.22,volume 0.05656787335025526 1.9505086899600719,0
2015-12-13,154.12,volume 0.3847306789320617 1.9505086899600719,0
