Date,Close,Stage,support
2011-11-06,140.62,volume 0.09455266646131366 1.9505086899600719,0
2011-11-13,139.07,volume -0.1635510590996806 1.9505086899600719,0
2011-11-20,133.65,bearish,0
2011-11-27,140.66,volume 0.8738428518914336 1.9505086899600719,0
2011-12-04,140.39,volume 0.5393666887796311 1.9505086899600719,0
2011-12-11,139.88,volume -0.015591215793935187 1.9505086899600719,0
2011-12-18,145.18,volume -0.5890434314056394 1.9505086899600719,0
2011-12-25,145.39,volume -0.3430717934616062 1.9505086899600719,0
2012-01-01,143.05,volume 0.42272653856337516 1.9505086899600719,0
2012-01-08,143.01,volume 0.2400937537636858 1.9505086899600719,0
2012-01-15,143.67,volume -0.2197621510457004 1.9505086899600719,0
2012-01-22,143.33,volume 0.1978098784463358 1.9505086899600719,0
2012-01-29,141.74,volume 0.3545674623592745 1.9505086899600719,0
2012-02-05,140.45,volume -0.29560297446773853 1.9505086899600719,0
2012-02-12,142.01,volume 0.1560212372295069 1.9505086899600719,0
2012-02-19,143.64,volume -0.34276464453737343 1.9505086899600719,0
2012-02-26,141.1,volume 0.7396177505069463 1.9505086899600719,0
2012-03-04,142.31,volume -0.06705283145070973 1.9505086899600719,0
2012-03-11,141.71,volume 0.04593502976894959 1.9505086899600719,0
2012-03-18,140.74,volume -0.28415667200062034 1.9505086899600719,0
2012-03-25,140.72,volume 0.16378860237233783 1.9505086899600719,0
2012-04-01,140.05,volume -0.141521008095164 1.9505086899600719,0
2012-04-08,135.92,volume 0.1792071234657009 1.9505086899600719,0
2012-04-15,137.82,volume -0.007357355434674306 1.9505086899600719,0
2012-04-22,140.07,volume -0.013743637400096764 1.9505086899600719,0
2012-04-29,139.83,volume 0.16993864388724322 1.9505086899600719,0
2012-05-06,140.21,volume 0.039272151215310025 1.9505086899600719,0
2012-05-13,134.42,volume -0.06455481838591759 1.9505086899600719,0
2012-05-20,136.46,volume -0.16241284310210113 1.9505086899600719,0
2012-05-27,133.86,volume 0.02767710135485202 1.9505086899600719,0
2012-06-03,136.92,volume 0.48808382325445177 1.9505086899600719,0
2012-06-10,138.23,volume -0.11024098063455567 1.9505086899600719,0
2012-06-17,137.12,volume 0.13773143590672476 1.9505086899600719,0
2012-06-24,139.94,volume -0.20634154276379546 1.9505086899600719,0
2012-07-01,141.04,volume -0.3323437258112696 1.9505086899600719,0
2012-07-08,143.11,volume 0.32307357192403097 1.9505086899600719,0
2012-07-15,145.46,volume 0.9792628326248904 1.9505086899600719,0
2012-07-22,145.82,volume -0.4770517021893237 1.9505086899600719,0
2012-07-29,144.05,volume -0.005465158822570926 1.9505086899600719,0
2012-08-05,143.88,volume -0.23940179568715936 1.9505086899600719,0
2012-08-12,142.89,volume 0.0547137054672564 1.9505086899600719,0
2012-08-19,140.93,volume -0.07272187894407656 1.9505086899600719,0
2012-08-26,140.02,volume -0.06476839471566942 1.9505086899600719,0
2012-09-02,143.54,volume 0.03839794455917467 1.9505086899600719,0
2012-09-09,144.76,volume 0.09416213499859505 1.9505086899600719,0
2012-09-16,145.14,volume 0.26510963207073757 1.9505086899600719,0
2012-09-23,146.39,volume -0.12424500556901685 1.9505086899600719,0
2012-09-30,147.75,volume -0.2273090032245242 1.9505086899600719,0
2012-10-07,144.15,volume 0.040371803361467284 1.9505086899600719,0
2012-10-14,146.23,volume 0.4846397094129564 1.9505086899600719,0
2012-10-21,144.64,volume -0.29429149754845507 1.9505086899600719,0
2012-10-28,141.46,volume -0.14666884366461896 1.9505086899600719,0
2012-11-04,137.65,volume 0.5593697477831103 1.9505086899600719,0
2012-11-11,136.4,volume 0.07091030421733002 1.9505086899600719,0
2012-11-18,138.24,volume -0.3294437234950335 1.9505086899600719,0
2012-11-25,139.52,volume 0.5857168506383021 1.9505086899600719,0
2012-12-02,138.38,volume -0.22537874724524054 1.9505086899600719,0
2012-12-09,137.7,volume 0.4623585897714553 1.9505086899600719,0
2012-12-16,139.82,volume 0.3071543008401505 1.9505086899600719,0
2012-12-23,136.26,volume -0.5896747607484438 1.9505086899600719,0
2012-12-30,142.44,volume 0.3453539821641687 1.9505086899600719,0
2013-01-06,140.76,volume 0.08852473753575785 1.9505086899600719,0
2013-01-13,143.27,volume 0.0 1.9505086899600719,0
2013-01-20,145.08,volume -0.18960038363267717 1.9505086899600719,0
2013-01-27,148.36,volume 0.6829935853973041 1.9505086899600719,0
2013-02-03,149.95,volume -0.2059496848674499 1.9505086899600719,0
2013-02-10,149.79,volume -0.1438644826983142 1.9505086899600719,0
2013-02-17,150.29,volume -0.21805693865820464 1.9505086899600719,0
2013-02-24,149.26,volume 0.5885694406844262 1.9505086899600719,0
2013-03-03,151.41,volume -0.23944809171268733 1.9505086899600719,0
2013-03-10,151.37,volume 0.25426806734544294 1.9505086899600719,0
2013-03-17,153.15,volume -0.31688232394548577 1.9505086899600719,0
2013-03-24,157.08,volume -0.07102806755901903 1.9505086899600719,0
2013-03-31,155.74,volume 0.2515503765715916 1.9505086899600719,0
2013-04-07,160.18,volume -0.1610645374241788 1.9505086899600719,0
2013-04-14,161.86,volume 0.7365496112200765 1.9505086899600719,0
2013-04-21,162.18,volume -0.3573132192955768 1.9505086899600719,0
2013-04-28,160.57,volume 0.3374885942080601 1.9505086899600719,0
2013-05-05,159.53,volume -0.2815646971741238 1.9505086899600719,0
2013-05-12,163.39,volume 0.27390720552258396 1.9505086899600719,0
2013-05-19,158.74,volume -0.21233859397417498 1.9505086899600719,0
2013-05-26,155.42,volume 0.01729726404051113 1.9505086899600719,0
2013-06-02,155.33,volume 0.14495717391868523 1.9505086899600719,0
2013-06-09,160.64,volume 0.09110725107514783 1.9505086899600719,0
2013-06-16,155.04,volume 0.18451864337830504 1.9505086899600719,0
2013-06-23,158.15,volume -0.09210378765042249 1.9505086899600719,0
2013-06-30,158.04,volume -0.43816765709888394 1.9505086899600719,0
2013-07-07,164.33,volume 0.3811722758613405 1.9505086899600719,0
2013-07-14,167.71,volume 0.1304029063516916 1.9505086899600719,0
2013-07-21,172.49,volume -0.13348147871078286 1.9505086899600719,0
2013-07-28,172.42,volume 0.1978426701901006 1.9505086899600719,0
