,open,high,low,close,adjclose,volume,ticker,fiveYearHigh,WMA30,WMA30Slope,volumePerc,percent,RS,peak,trough,support,initialSupport,Stage,secondBuy
1995-01-02,3.40625,3.78125,3.21875,3.65625,3.65625,334800,INCY,0.0,,0.0,,0.0,,3.65625,3.65625,0.0,0.0,,False
1995-01-09,3.78125,3.90625,3.65625,3.78125,3.78125,253200,INCY,0.0,,0.0,-0.2437275985663082,0.0,,3.78125,3.78125,0.0,0.0,bad sector,False
1995-01-16,3.8125,3.9375,3.65625,3.75,3.75,207600,INCY,0.0,,0.0,-0.1800947867298578,0.0,,3.78125,3.75,0.0,0.0,bad sector,False
1995-01-23,3.75,3.78125,3.6875,3.726562976837158,3.726562976837158,189200,INCY,0.0,,0.0,-0.08863198458574184,0.0,,3.78125,3.726562976837158,0.0,0.0,bad sector,False
1995-01-30,3.71875,3.78125,3.71875,3.71875,3.71875,121200,INCY,0.0,,0.0,-0.35940803382663844,0.0,,3.78125,3.71875,0.0,0.0,bad sector,False
1995-02-06,3.8125,3.8125,3.6875,3.6875,3.6875,138000,INCY,0.0,,0.0,0.13861386138613851,0.0,,3.78125,3.6875,0.0,0.0,bad sector,False
1995-02-13,3.75,4.875,3.75,4.84375,4.84375,680800,INCY,0.0,,0.0,3.9333333333333336,0.0,,4.84375,4.84375,0.0,0.0,bad sector,False
1995-02-20,4.78125,4.78125,4.5625,4.6875,4.6875,513200,INCY,0.0,,0.0,-0.24618096357226793,0.0,,4.84375,4.6875,0.0,0.0,bad sector,False
1995-02-27,4.71875,4.71875,4.125,4.125,4.125,338000,INCY,0.0,,0.0,-0.3413873733437256,0.0,,4.84375,4.125,0.0,0.0,bad sector,False
1995-03-06,4.09375,4.09375,3.75,3.9375,3.9375,624400,INCY,0.0,,0.0,0.8473372781065089,0.0,,4.84375,3.9375,0.0,0.0,bad sector,False
1995-03-13,3.9375,4.1875,3.9375,3.96875,3.96875,279600,INCY,0.0,,0.0,-0.5522101217168482,0.0,,4.84375,3.9375,0.0,0.0,bad sector,False
1995-03-20,3.9375,3.96875,3.46875,3.46875,3.46875,512000,INCY,0.0,,0.0,0.8311874105865522,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-03-27,3.4375,3.5625,3.4375,3.5625,3.5625,191200,INCY,0.0,,0.0,-0.6265625,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-04-03,3.5625,3.84375,3.5625,3.78125,3.78125,197600,INCY,0.0,,0.0,0.03347280334728042,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-04-10,3.75,3.8125,3.625,3.6875,3.6875,270400,INCY,0.0,,0.0,0.368421052631579,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-04-17,3.71875,3.75,3.59375,3.6875,3.6875,114800,INCY,0.0,,0.0,-0.5754437869822485,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-04-24,3.75,4.09375,3.71875,4.09375,4.09375,322800,INCY,0.0,,0.0,1.8118466898954706,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-05-01,4.15625,4.3125,4.03125,4.0625,4.0625,206400,INCY,0.0,,0.0,-0.3605947955390335,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-05-08,4.0625,4.0625,3.90625,3.90625,3.90625,84400,INCY,0.0,,0.0,-0.5910852713178294,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
1995-05-15,3.875,4.0625,3.78125,4.0,4.0,659200,INCY,0.0,,0.0,6.81042654028436,0.0,,4.84375,3.46875,0.0,0.0,bad sector,False
